target,label,chain,pip
48,edge_W1_2_0,4,0.705
48,edge_W1_2_0,pooled,0.65595
49,edge_W1_2_1,1,0.6282
49,edge_W1_2_1,2,0.7148
49,edge_W1_2_1,3,0.612
49,edge_W1_2_1,4,0.7142
49,edge_W1_2_1,pooled,0.6673
50,edge_W1_2_2,1,0.6118
50,edge_W1_2_2,2,0.6416
50,edge_W1_2_2,3,0.646
50,edge_W1_2_2,4,0.7066
50,edge_W1_2_2,pooled,0.6515
51,edge_W1_2_3,1,0.6718
51,edge_W1_2_3,2,0.6458
51,edge_W1_2_3,3,0.6194
51,edge_W1_2_3,4,0.7018
51,edge_W1_2_3,pooled,0.6597
52,edge_W1_2_4,1,0.6896
52,edge_W1_2_4,2,0.6944
52,edge_W1_2_4,3,0.59
52,edge_W1_2_4,4,0.6874
52,edge_W1_2_4,pooled,0.66535
53,edge_W1_2_5,1,0.7148
53,edge_W1_2_5,2,0.6366
53,edge_W1_2_5,3,0.6082
53,edge_W1_2_5,4,0.7114
53,edge_W1_2_5,pooled,0.66775
54,edge_W1_3_0,1,0.6444
54,edge_W1_3_0,2,0.6332
54,edge_W1_3_0,3,0.6496
54,edge_W1_3_0,4,0.7216
54,edge_W1_3_0,pooled,0.6622
55,edge_W1_3_1,1,0.6406
55,edge_W1_3_1,2,0.6288
55,edge_W1_3_1,3,0.6116
55,edge_W1_3_1,4,0.689
55,edge_W1_3_1,pooled,0.6425
56,edge_W1_3_2,1,0.6544
56,edge_W1_3_2,2,0.6448
56,edge_W1_3_2,3,0.6192
56,edge_W1_3_2,4,0.6892
56,edge_W1_3_2,pooled,0.6519
57,edge_W1_3_3,1,0.636
57,edge_W1_3_3,2,0.6372
57,edge_W1_3_3,3,0.6238
57,edge_W1_3_3,4,0.6816
57,edge_W1_3_3,pooled,0.64465
58,edge_W1_3_4,1,0.635
58,edge_W1_3_4,2,0.6866
58,edge_W1_3_4,3,0.6026
58,edge_W1_3_4,4,0.6996
58,edge_W1_3_4,pooled,0.65595
59,edge_W1_3_5,1,0.679
59,edge_W1_3_5,2,0.661
59,edge_W1_3_5,3,0.6608
59,edge_W1_3_5,4,0.7054
59,edge_W1_3_5,pooled,0.67655
60,edge_W1_4_0,1,0.6024
60,edge_W1_4_0,2,0.6448
60,edge_W1_4_0,3,0.6492
60,edge_W1_4_0,4,0.7212
60,edge_W1_4_0,pooled,0.6544
61,edge_W1_4_1,1,0.6444
61,edge_W1_4_1,2,0.6686
61,edge_W1_4_1,3,0.6086
61,edge_W1_4_1,4,0.7054
61,edge_W1_4_1,pooled,0.65675
62,edge_W1_4_2,1,0.6092
62,edge_W1_4_2,2,0.6294
62,edge_W1_4_2,3,0.6082
62,edge_W1_4_2,4,0.6752
62,edge_W1_4_2,pooled,0.6305
63,edge_W1_4_3,1,0.6408
63,edge_W1_4_3,2,0.643
63,edge_W1_4_3,3,0.6238
63,edge_W1_4_3,4,0.7004
63,edge_W1_4_3,pooled,0.652
64,edge_W1_4_4,1,0.7624
64,edge_W1_4_4,2,0.6502
64,edge_W1_4_4,3,0.6316
64,edge_W1_4_4,4,0.7004
64,edge_W1_4_4,pooled,0.68615
65,edge_W1_4_5,1,0.623
65,edge_W1_4_5,2,0.61
65,edge_W1_4_5,3,0.6716
65,edge_W1_4_5,4,0.7058
65,edge_W1_4_5,pooled,0.6526
66,edge_W2_0_0,1,0.7694
66,edge_W2_0_0,2,0.7276
66,edge_W2_0_0,3,0.6424
66,edge_W2_0_0,4,0.71
66,edge_W2_0_0,pooled,0.71235
67,edge_W2_0_1,1,0.7666
67,edge_W2_0_1,2,0.6936
67,edge_W2_0_1,3,0.6468
67,edge_W2_0_1,4,0.733
67,edge_W2_0_1,pooled,0.71
68,edge_W2_0_2,1,0.7682
68,edge_W2_0_2,2,0.7036
68,edge_W2_0_2,3,0.6418
68,edge_W2_0_2,4,0.7198
68,edge_W2_0_2,pooled,0.70835
69,edge_W2_0_3,1,0.6262
69,edge_W2_0_3,2,0.624
69,edge_W2_0_3,3,0.6664
69,edge_W2_0_3,4,0.707
69,edge_W2_0_3,pooled,0.6559
70,edge_W2_0_4,1,0.7454
70,edge_W2_0_4,2,0.6658
70,edge_W2_0_4,3,0.6436
70,edge_W2_0_4,4,0.7302
70,edge_W2_0_4,pooled,0.69625
71,edge_W2_1_0,1,0.6588
71,edge_W2_1_0,2,0.706
71,edge_W2_1_0,3,0.6378
71,edge_W2_1_0,4,0.721
71,edge_W2_1_0,pooled,0.6809
72,edge_W2_1_1,1,0.6598
72,edge_W2_1_1,2,0.776
72,edge_W2_1_1,3,0.6786
72,edge_W2_1_1,4,0.7418
72,edge_W2_1_1,pooled,0.71405
73,edge_W2_1_2,1,0.6456
