method,mode,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,pip_hard,softgate,selected,effect_mean,effect_sd,effect_hard_mean,effect_hard_sd
last_flow,lasso_recovery,simple,477,477,68,69,0.0,0,0.0,0.0,0.04046696,0,0.020602373,0.040387932,0.0,0.0
last_flow,lasso_recovery,simple,477,477,69,70,0.0,0,0.0,0.0,0.049968604,0,-0.025773576,0.03804401,0.0,0.0
last_flow,lasso_recovery,simple,477,477,70,71,0.0,0,0.0,0.0,0.09620598,0,0.08818009,0.06337025,0.0,0.0
last_flow,lasso_recovery,simple,477,477,71,72,-1.7963614,1,1.0,1.0,0.9819557,1,-1.6323497,0.12436021,-1.6620686,0.11662778
last_flow,lasso_recovery,simple,477,477,72,73,0.0,0,0.0,0.0,0.04150144,0,0.025261661,0.041807376,0.0,0.0
last_flow,lasso_recovery,simple,477,477,73,74,0.0,0,0.0,0.0,0.038928516,0,0.0031912464,0.030671338,0.0,0.0
last_flow,lasso_recovery,simple,477,477,74,75,0.0,0,0.0,0.0,0.06473638,0,0.039220665,0.045609076,0.0,0.0
last_flow,lasso_recovery,simple,477,477,75,76,0.0,0,0.0,0.0,0.047108684,0,-0.0012961477,0.026782725,0.0,0.0
last_flow,lasso_recovery,simple,477,477,76,77,0.0,0,0.0,0.0,0.10397544,0,-0.0954951,0.076330855,0.0,0.0
last_flow,lasso_recovery,simple,477,477,77,78,0.0,0,0.0,0.0,0.054377988,0,-0.009580886,0.03673075,0.0,0.0
last_flow,lasso_recovery,simple,477,477,78,79,-0.78176415,1,0.002,0.002,0.3204729,0,-0.5650486,0.12722173,-0.0032889738,0.07414917
last_flow,lasso_recovery,simple,477,477,79,80,0.0,0,0.0,0.0,0.19097918,0,0.27465072,0.10755552,0.0,0.0
last_flow,lasso_recovery,simple,477,477,80,81,0.0,0,0.0005,0.0005,0.02975341,0,-0.0009853235,0.024260957,9.8937846e-05,0.004839455
last_flow,lasso_recovery,simple,477,477,81,82,0.0,0,0.0,0.0,0.059650842,0,0.02803981,0.040899236,0.0,0.0
last_flow,lasso_recovery,simple,477,477,82,83,0.0,0,0.0,0.0,0.07235878,0,0.044281572,0.051397353,0.0,0.0
last_flow,lasso_recovery,simple,477,477,83,84,0.0,0,0.0,0.0,0.07275755,0,0.038638316,0.04850148,0.0,0.0
last_flow,lasso_recovery,simple,477,477,84,85,0.0,0,0.0,0.0,0.04936352,0,-0.029327393,0.039696828,0.0,0.0
last_flow,lasso_recovery,simple,477,477,85,86,0.0,0,0.0,0.0,0.054319352,0,0.00074161007,0.036627565,0.0,0.0
last_flow,lasso_recovery,simple,477,477,86,87,0.0,0,0.00075,0.00075,0.03722217,0,0.0018186308,0.03241341,0.00022479994,0.014303953
last_flow,lasso_recovery,simple,477,477,87,88,0.0,0,0.0,0.0,0.05623673,0,0.010333501,0.041630737,0.0,0.0
last_flow,lasso_recovery,simple,477,477,88,89,0.0,0,0.0025,0.0025,0.026724154,0,0.005157306,0.03649737,0.0013086984,0.042755883
last_flow,lasso_recovery,simple,477,477,89,90,0.0,0,0.0,0.0,0.058182642,0,0.03956576,0.044859312,0.0,0.0
last_flow,lasso_recovery,simple,477,477,90,91,0.0,0,0.0,0.0,0.046140406,0,-0.0094955955,0.031140758,0.0,0.0
last_flow,lasso_recovery,simple,477,477,91,92,0.0,0,0.0,0.0,0.10797917,0,-0.13189948,0.0901085,0.0,0.0
last_flow,lasso_recovery,simple,477,477,92,93,0.0,0,0.0,0.0,0.038723994,0,0.019779867,0.034228284,0.0,0.0
last_flow,lasso_recovery,simple,477,477,93,94,0.0,0,0.0,0.0,0.040951554,0,0.0056115906,0.031009536,0.0,0.0
last_flow,lasso_recovery,simple,477,477,94,95,0.0,0,0.0,0.0,0.039930694,0,0.0053694174,0.02634956,0.0,0.0
last_flow,lasso_recovery,simple,477,477,95,96,0.0,0,0.0,0.0,0.10519582,0,0.11554108,0.0778045,0.0,0.0
last_flow,lasso_recovery,simple,477,477,96,97,0.0,0,0.0,0.0,0.044289723,0,-0.0014592014,0.030124057,0.0,0.0
last_flow,lasso_recovery,simple,477,477,97,98,0.0,0,0.00225,0.00225,0.026833756,0,-0.005787691,0.030772757,-0.0007076341,0.023235358
last_flow,lasso_recovery,simple,477,477,98,99,0.0,0,0.0,0.0,0.082803205,0,0.063445374,0.05814026,0.0,0.0
last_flow,lasso_recovery,simple,477,477,99,100,0.7441826,1,0.187,0.187,0.43925586,0,0.7028218,0.13678937,0.28443483,0.6024105
