method,mode,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,pip_hard,softgate,selected,effect_mean,effect_sd,effect_hard_mean,effect_hard_sd
last_flow,recovery,simple,434,434,14,15,0.0,0,0.00025,0.00025,0.083656624,0,0.05620225,0.047284562,8.314565e-05,0.0052586407
last_flow,recovery,simple,434,434,15,16,0.0,0,0.006,0.006,0.0130929565,0,-0.0032378691,0.029581023,-0.0018763441,0.031788025
last_flow,recovery,simple,434,434,16,17,0.0,0,0.02575,0.02575,0.049130626,0,-0.0041350527,0.027846446,-0.0020457292,0.030220568
last_flow,recovery,simple,434,434,17,18,-0.78595686,1,0.0075,0.0075,0.3414834,0,-0.5114102,0.11912166,-0.010160001,0.11976605
last_flow,recovery,simple,434,434,18,19,0.0,0,0.0,0.0,0.18138598,0,-0.15019488,0.06962962,0.0,0.0
last_flow,recovery,simple,434,434,19,20,0.0,0,0.0,0.0,0.10960859,0,-0.08025308,0.062962465,0.0,0.0
last_flow,recovery,simple,434,434,20,21,0.0,0,0.004,0.004,0.021947911,0,-0.0042452817,0.026370643,-0.0011721002,0.024930635
last_flow,recovery,simple,434,434,21,22,0.0,0,0.0,0.0,0.07951584,0,0.04420623,0.044349656,0.0,0.0
last_flow,recovery,simple,434,434,22,23,0.0,0,0.00025,0.00025,0.23803036,0,0.1933273,0.07605484,0.00014382561,0.009096668
last_flow,recovery,simple,434,434,23,24,0.0,0,0.0,0.0,0.102125436,0,0.041384514,0.027447311,0.0,0.0
last_flow,recovery,simple,434,434,24,25,0.0,0,0.0005,0.0005,0.18934067,0,0.070407294,0.061209537,0.00031687247,0.01425567
last_flow,recovery,simple,434,434,25,26,0.0,0,0.0,0.0,0.13408838,0,0.09664727,0.052216075,0.0,0.0
last_flow,recovery,simple,434,434,26,27,0.0,0,0.0,0.0,0.14502202,0,-0.003917574,0.045181405,0.0,0.0
last_flow,recovery,simple,434,434,27,28,0.0,0,0.00025,0.00025,0.15422562,0,-0.057526,0.03294338,-0.00013551988,0.008571407
last_flow,recovery,simple,434,434,28,29,0.0,0,0.0,0.0,0.15495087,0,0.06516241,0.03470628,0.0,0.0
last_flow,recovery,simple,434,434,29,30,0.0,0,0.0005,0.0005,0.10947045,0,-0.04269947,0.03464338,-0.00025257267,0.011355621
last_flow,recovery,simple,434,434,30,31,0.0,0,0.0,0.0,0.13557781,0,0.025461178,0.0475935,0.0,0.0
last_flow,recovery,simple,434,434,31,32,0.0,0,0.0185,0.0185,0.029316155,0,0.00073985144,0.019032078,0.00015769298,0.02164057
last_flow,recovery,simple,434,434,32,33,0.0,0,0.0,0.0,0.20814803,0,-0.31361216,0.09235378,0.0,0.0
last_flow,recovery,simple,434,434,33,34,0.0,0,0.00075,0.00075,0.252543,0,0.21673463,0.087624304,0.00047375934,0.017764475
last_flow,recovery,simple,434,434,34,35,0.0,0,0.01525,0.01525,0.03350176,0,0.0005377524,0.02232992,-0.0002054756,0.024412755
last_flow,recovery,simple,434,434,35,36,0.0,0,0.0,0.0,0.18164404,0,-0.09129589,0.0515844,0.0,0.0
last_flow,recovery,simple,434,434,36,37,0.0,0,0.0065,0.0065,0.075073525,0,-0.0082137985,0.0405013,-0.0008533573,0.027064623
