method,epoch,group_id,selection_type,block,layer,edge_layer,parameter,target,source,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
VI,2000,47,edge,hidden_layer_2,1,hidden_layer_2,W2,3,2,input,0.4277999997138977,0.13551028072834015,-0.17886608839035034,0.9772672057151794,0.7932336926460266,0.6624783277511597
VI,2000,48,edge,hidden_layer_2,1,hidden_layer_2,W2,3,3,input,0.4392000138759613,0.13822579383850098,-0.15589334070682526,0.9714094996452332,0.8053591251373291,0.6971585154533386
VI,2000,49,edge,hidden_layer_2,1,hidden_layer_2,W2,3,4,input,0.4196000099182129,0.13087402284145355,-0.17916323244571686,0.959160566329956,0.7761495113372803,0.6498544216156006
VI,2000,50,edge,hidden_layer_2,1,hidden_layer_2,W2,4,0,input,0.20819999277591705,0.013754504732787609,-0.6379356980323792,0.706781804561615,0.7479708194732666,0.6262452602386475
VI,2000,51,edge,hidden_layer_2,1,hidden_layer_2,W2,4,1,input,0.23800000548362732,0.01647329516708851,-0.6087822914123535,0.7122095227241516,0.7287639379501343,0.6093704104423523
VI,2000,52,edge,hidden_layer_2,1,hidden_layer_2,W2,4,2,input,0.21379999816417694,0.014436358585953712,-0.6313759088516235,0.7069054841995239,0.7423640489578247,0.6425131559371948
VI,2000,53,edge,hidden_layer_2,1,hidden_layer_2,W2,4,3,input,1.0,0.6859201192855835,1.5488685369491577,0.3690248727798462,1.620450496673584,1.5943195819854736
VI,2000,54,edge,hidden_layer_2,1,hidden_layer_2,W2,4,4,input,1.0,0.6997437477111816,1.5978333950042725,0.3665197789669037,1.218083381652832,1.2094131708145142
VI,2000,55,edge,output,2,output,W3,0,0,output,0.20900000631809235,0.015554489567875862,-0.6413384079933167,0.727144718170166,0.7370952367782593,0.618219256401062
VI,2000,56,edge,output,2,output,W3,0,1,output,0.19900000095367432,0.01437064167112112,-0.6209262013435364,0.6865730881690979,0.7233905792236328,0.6268343925476074
VI,2000,57,edge,output,2,output,W3,0,2,output,0.21580000221729279,0.015378084033727646,-0.6094871759414673,0.7019345164299011,0.7621120810508728,0.6642146110534668
VI,2000,58,edge,output,2,output,W3,0,3,output,0.18119999766349792,0.012010583654046059,-0.7284532189369202,0.7433825731277466,0.7106075882911682,0.6057641506195068
VI,2000,59,edge,output,2,output,W3,0,4,output,1.0,0.7042413353919983,1.602570652961731,0.33282390236854553,1.1496142148971558,1.1364368200302124
MCMC,,0,edge,hidden_layer_1,0,hidden_layer_1,W1,0,0,input,0.7506999969482422,0.41164204478263855,0.8310127854347229,1.1625349521636963,1.0862374305725098,0.9897809028625488
MCMC,,1,edge,hidden_layer_1,0,hidden_layer_1,W1,0,1,input,0.5906999707221985,0.22402895987033844,0.2546447813510895,1.0118712186813354,0.7313628196716309,0.5894663333892822
MCMC,,2,edge,hidden_layer_1,0,hidden_layer_1,W1,0,2,input,0.5760499835014343,0.22056885063648224,0.2312656193971634,1.035876989364624,0.711037814617157,0.5729139447212219
MCMC,,3,edge,hidden_layer_1,0,hidden_layer_1,W1,0,3,input,0.6547499895095825,0.28798946738243103,0.44995683431625366,1.0850422382354736,0.8233230710029602,0.6674752831459045
MCMC,,4,edge,hidden_layer_1,0,hidden_layer_1,W1,0,4,input,0.5956000089645386,0.2237825244665146,0.2561761736869812,1.0175063610076904,0.717945396900177,0.5819581747055054
MCMC,,5,edge,hidden_layer_1,0,hidden_layer_1,W1,0,5,input,0.6175500154495239,0.24030883610248566,0.30404263734817505,1.0269180536270142,0.724743664264679,0.5877001285552979
MCMC,,6,edge,hidden_layer_1,0,hidden_layer_1,W1,1,0,input,0.7338500022888184,0.3736431300640106,0.7216090559959412,1.0961329936981201,1.0147831439971924,0.8881596326828003
MCMC,,7,edge,hidden_layer_1,0,hidden_layer_1,W1,1,1,input,0.5697000026702881,0.21450044214725494,0.20828622579574585,1.0441014766693115,0.715507984161377,0.57062166929245
MCMC,,8,edge,hidden_layer_1,0,hidden_layer_1,W1,1,2,input,0.5751000046730042,0.21184846758842468,0.20778989791870117,1.0307143926620483,0.7244541049003601,0.5887203216552734
MCMC,,9,edge,hidden_layer_1,0,hidden_layer_1,W1,1,3,input,0.6877999901771545,0.34607940912246704,0.6307773590087891,1.1801451444625854,1.0037317276000977,0.8056843876838684
MCMC,,10,edge,hidden_layer_1,0,hidden_layer_1,W1,1,4,input,0.588949978351593,0.22257724404335022,0.24174931645393372,1.03341543674469,0.7130380272865295,0.5703784823417664
MCMC,,11,edge,hidden_layer_1,0,hidden_layer_1,W1,1,5,input,0.5976999998092651,0.22447292506694794,0.2532646656036377,1.018945336341858,0.7224046587944031,0.5782046914100647
MCMC,,12,edge,hidden_layer_1,0,hidden_layer_1,W1,2,0,input,0.6035000085830688,0.24990956485271454,0.3288387358188629,1.0923393964767456,0.77614825963974,0.597866952419281
MCMC,,13,edge,hidden_layer_1,0,hidden_layer_1,W1,2,1,input,0.5244500041007996,0.174424409866333,0.08726919442415237,0.9829438924789429,0.6976826190948486,0.5458909869194031
MCMC,,14,edge,hidden_layer_1,0,hidden_layer_1,W1,2,2,input,0.5151000022888184,0.1686474084854126,0.07227826863527298,0.9679118394851685,0.6922221779823303,0.5473988652229309
MCMC,,15,edge,hidden_layer_1,0,hidden_layer_1,W1,2,3,input,0.8650000095367432,0.5506544709205627,1.282731294631958,1.065871238708496,1.61546790599823,1.6928765773773193
MCMC,,16,edge,hidden_layer_1,0,hidden_layer_1,W1,2,4,input,0.590499997138977,0.20735050737857819,0.20957377552986145,0.9903208017349243,0.6876526474952698,0.5397725105285645
