seed,pip_mae,pip_rmse,pearson,spearman,jaccard,last_support_size,mcmc_support_size
444,0.0056725000000000005,0.05655003591952882,0.9810049166977766,0.7248197799039461,0.9,9,10
445,0.0131075,0.10436546363620486,0.9379882238342704,0.569865438981225,0.9,10,9
446,0.0037199999999999998,0.029188808857163052,0.995222262764658,0.7404400624648354,1.0,9,9
447,0.01933875,0.13017034812602293,0.9008260124993384,0.6600117667926798,0.8,8,10
448,0.005345000000000001,0.05120690871357106,0.9826358901319655,0.6014261556894662,0.8888888888888888,8,9
449,0.005428749999999998,0.03898848588044937,0.9885120807370775,0.551336991459912,1.0,7,7
450,0.0126325,0.10113372644672004,0.9418974475042055,0.5871808989396043,0.9,10,9
451,0.003515,0.02662389082196665,0.9952634710134973,0.5476007025218241,1.0,8,8
452,0.020463750000000003,0.11726726618605042,0.9154788497785061,0.5725607974263109,0.7,9,8
453,0.0089175,0.06695236879677971,0.9671899473701955,0.5800785577688914,0.875,7,8
454,0.006616249999999999,0.040669158692429326,0.9922182666873546,0.7291764301713792,1.0,10,10
455,0.019917499999999998,0.12024279864091654,0.8982334022149292,0.6184215155318483,0.7777777777777778,7,9
456,0.0013662500000000003,0.011601932759243178,0.9991882282017801,0.605613634998322,1.0,9,9
457,0.008190000000000001,0.05688940202269663,0.9832136096136321,0.5799096674188785,0.9,10,9
458,0.012768750000000002,0.09259371013330225,0.9443808115543461,0.5760635746333634,0.8888888888888888,8,9
459,0.01171375,0.07502418464235383,0.9569028932609893,0.5988281873306276,0.875,7,8
460,0.009158750000000002,0.08604284815572995,0.9568861841755993,0.6844886761060723,0.9,9,10
461,0.01361375,0.08747369336692032,0.9511003491045588,0.6211992679983702,0.8,8,10
462,0.02415375,0.14575092248850433,0.8703006804690243,0.5127392887648213,0.8,9,9
463,0.012633750000000001,0.06261316130615033,0.979046687896019,0.5726109422317786,1.0,9,9
464,0.0029699999999999987,0.020390515564840436,0.9975113750591417,0.46849956366856543,1.0,9,9
465,0.0010050000000000005,0.004050038580063159,0.999905592386216,0.5724513787217755,1.0,9,9
466,0.00553125,0.0502428493046523,0.9849548543006283,0.7770311960378808,0.8888888888888888,9,8
467,0.021648749999999998,0.13163664775149053,0.900832254097947,0.5352271042360476,0.8181818181818182,10,10
468,0.005477499999999999,0.03577850262378235,0.9924246141238603,0.6183798676827894,1.0,9,9
469,0.01121375,0.09800175939109461,0.9455219568397537,0.5899583326373825,0.9,10,9
470,0.0088575,0.06748145810146666,0.9721809295223596,0.582353888922268,0.8888888888888888,9,8
471,0.0026674999999999997,0.017066881305616444,0.9982626434654859,0.6118347951744998,1.0,9,9
472,0.028645,0.159721179912058,0.8318463573011535,0.4206158197640622,0.7,8,9
473,0.0216425,0.12598480563147288,0.8868642225055741,0.565883271531224,0.7777777777777778,8,8
474,0.00076125,0.0030280201865245256,0.999953648602148,0.5576599705875868,1.0,10,10
475,0.019927499999999997,0.13920817370039737,0.8764487113067373,0.62321482652745,0.7777777777777778,9,7
476,0.01361375,0.07696372826695703,0.966805416601039,0.5773714187132034,0.8888888888888888,9,8
477,0.008645000000000002,0.04401671557488132,0.9882266137499464,0.5928910738893691,1.0,9,9
478,0.03155125,0.16729363920588852,0.7955750544962814,0.5194834366953477,0.6666666666666666,7,8
479,0.02007375,0.12768220253328183,0.8982436848513256,0.6176371719847855,0.8,9,9
480,0.01641625,0.09844668528574234,0.9238285222346705,0.5927589100799051,0.8571428571428571,6,7
481,0.004251250000000001,0.027480854130648852,0.9954283742369873,0.7237031501701723,1.0,9,9
482,0.01226,0.10009148159309063,0.9373671562271354,0.6158792291616858,0.8888888888888888,9,8
483,0.014105000000000003,0.07075437265639488,0.9327507302510131,0.5102387942441132,0.8,4,5
484,0.01907,0.12513869680278758,0.9183953963649605,0.6020113477008279,0.8181818181818182,11,9
485,0.010603749999999999,0.05981401513232497,0.9832612946645214,0.7169733047129492,1.0,10,10
486,0.01368375,0.08970633077575962,0.9567135527269852,0.6632134272720269,0.8,10,8
487,0.015657499999999994,0.10386072254466555,0.927269348171869,0.5770815130072161,0.8888888888888888,8,9
488,0.010583750000000001,0.07081832941583698,0.9689565323379559,0.6053967848566482,0.8888888888888888,9,8
489,0.0013950000000000004,0.009397672584209347,0.999469861553789,0.5730148358610005,1.0,9,9
490,0.011272499999999998,0.10051972443257093,0.9476625876713095,0.6378820222933059,0.9090909090909091,11,10
491,0.016819999999999998,0.11066761184962835,0.9304253693838892,0.5852004450776189,0.9,10,9
492,0.03702625,0.16582407328626927,0.8070487706023468,0.4394986440239241,0.6,8,8
493,0.00993125,0.05354354098535135,0.9828133333715572,0.5160130549652627,1.0,9,9
494,0.009049999999999999,0.07345636459831101,0.9645690763455067,0.6276707240706946,0.8888888888888888,8,9
495,0.007585,0.053636889707551094,0.9824154693413949,0.6742682463673366,0.9,9,10
496,0.011260000000000001,0.07632026270919146,0.9498573469288365,0.5492967367938033,0.8333333333333334,6,5
497,0.009024999999999998,0.06408508016691561,0.9746551546663189,0.6425693636568021,0.9,9,10
498,0.009805,0.05204534381191079,0.9815611662853705,0.5858446431206402,1.0,8,8
499,0.021176249999999997,0.12645597862991692,0.8989588413320758,0.5820012332517563,0.8,8,10
