method,mode,setting,seed,replicate_id,n,p,n_active,sigma2,support_threshold,n_draws,selected_size,active_idx0,selected_idx0,selected_ckpt_id,selected_epoch,selected_stage,selected_tau,precision,recall,f1,fdr,tp,fp,fn,tn,support_size,auroc,auprc,K_q,K_g,tau_start,tau_end,base_lr,stage_lr_decay,min_lr_scale,warmup_epochs,n_anneal_stages,min_stage_epochs,max_stage_epochs,q_entropy_weight,lasso_recovery_score
last_flow,lasso_recovery,simple,428,428,160,100,10,1.0,0.5,4000,7,3;12;27;40;55;63;66;82;84;89,3;27;55;63;66;82;89,33,800,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.943888888888889,0.885,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7793415402269162
last_flow,lasso_recovery,simple,429,429,160,100,10,1.0,0.5,4000,6,5;12;29;30;36;40;49;54;60;93,12;29;36;49;60;93,27,650,1,0.8,1.0,0.6,0.7499999999999999,0.0,6,0,4,90,6,0.8911111111111111,0.8200000000000001,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7937308281622466
last_flow,lasso_recovery,simple,430,430,160,100,10,1.0,0.5,4000,7,2;31;34;36;47;52;64;73;78;85,2;31;34;36;52;64;73,33,800,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9427777777777776,0.8742857142857143,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,1.0011763345488784
last_flow,lasso_recovery,simple,431,431,160,100,10,1.0,0.5,4000,7,1;8;21;41;52;56;70;72;78;85,21;41;52;70;72;78;85,32,775,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9455555555555556,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.847832150252745
last_flow,lasso_recovery,simple,432,432,160,100,10,1.0,0.5,4000,7,0;22;33;34;36;43;59;89;91;96,22;34;36;43;59;89;96,32,775,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.8955555555555557,0.8200000000000001,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.5891868079825491
last_flow,lasso_recovery,simple,433,433,160,100,10,1.0,0.5,4000,7,30;35;38;51;58;60;74;81;84;86,30;38;58;60;74;84;86,32,775,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9405555555555556,0.8792307692307693,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.9257657651298948
last_flow,lasso_recovery,simple,434,434,160,100,10,1.0,0.5,4000,7,8;12;17;39;47;59;66;74;90;98,8;47;59;66;74;90;98,32,775,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9894444444444443,0.9376190476190478,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.9126085194406026
last_flow,lasso_recovery,simple,435,435,160,100,10,1.0,0.5,4000,7,26;33;46;57;58;70;79;83;97;99,26;33;57;58;70;83;99,32,775,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9461111111111112,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7785105370846495
last_flow,lasso_recovery,simple,436,436,160,100,10,1.0,0.5,4000,7,0;20;26;46;58;70;75;83;91;92,0;20;26;46;58;70;75,31,750,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.8877777777777778,0.8200000000000001,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.9493851122373238
last_flow,lasso_recovery,simple,437,437,160,100,10,1.0,0.5,4000,5,7;15;22;28;47;56;59;68;91;94,7;22;28;56;91,30,725,1,0.8,1.0,0.5,0.6666666666666666,0.0,5,0,5,90,5,0.9416666666666668,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.9313944613488848
last_flow,lasso_recovery,simple,438,438,160,100,10,1.0,0.5,4000,5,4;12;25;36;66;70;78;83;85;91,4;12;25;66;83,36,875,1,0.8,1.0,0.5,0.6666666666666666,0.0,5,0,5,90,5,0.845,0.73,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.9406165609651568
last_flow,lasso_recovery,simple,439,439,160,100,10,1.0,0.5,4000,5,15;26;32;38;39;55;61;73;84;99,32;39;61;73;99,31,750,1,0.8,1.0,0.5,0.6666666666666666,0.0,5,0,5,90,5,0.7844444444444445,0.6399999999999999,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8915705768243918
last_flow,lasso_recovery,simple,440,440,160,100,10,1.0,0.5,4000,7,4;16;31;33;58;59;61;67;80;90,4;16;31;33;58;80;90,30,725,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.8905555555555557,0.8,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8490770413224282
