branch,head,coupling_layer,target_coord,mean_entropy
shift,2,4,32,1.1002167463302612
shift,2,4,33,0.3642261326313019
shift,2,4,37,0.5361058712005615
shift,2,4,38,2.273402690887451
shift,2,4,39,1.0539594888687134
shift,2,4,41,0.16334259510040283
shift,2,4,44,0.43555229902267456
shift,2,4,45,2.7027230262756348
shift,2,5,1,2.091438055038452
shift,2,5,4,0.14180397987365723
shift,2,5,5,1.3258306980133057
shift,2,5,6,2.093252182006836
shift,2,5,9,1.216661810874939
shift,2,5,10,0.2828925848007202
shift,2,5,12,1.005592942237854
shift,2,5,15,1.0632482767105103
shift,2,5,18,1.1955788135528564
shift,2,5,21,1.1437082290649414
shift,2,5,23,0.44361019134521484
shift,2,5,24,1.8365882635116577
shift,2,5,25,1.7163949012756348
shift,2,5,28,0.9721636772155762
shift,2,5,30,1.7048436403274536
shift,2,5,31,1.158243179321289
shift,2,5,34,0.7452763915061951
shift,2,5,35,1.5534716844558716
shift,2,5,36,0.30308404564857483
shift,2,5,40,0.6676465272903442
shift,2,5,42,1.3086543083190918
shift,2,5,43,1.6213566064834595
shift,2,5,46,1.7505730390548706
shift,2,5,47,0.7959743142127991
shift,2,6,1,2.8762030601501465
shift,2,6,2,2.2476325035095215
shift,2,6,6,2.71925950050354
shift,2,6,7,2.7000582218170166
shift,2,6,8,1.6438032388687134
shift,2,6,10,1.5972660779953003
shift,2,6,13,1.4736157655715942
shift,2,6,15,1.7468241453170776
shift,2,6,18,1.1174250841140747
shift,2,6,19,2.0773582458496094
shift,2,6,23,1.2101538181304932
shift,2,6,24,1.6957954168319702
shift,2,6,26,0.8179514408111572
shift,2,6,28,2.38504695892334
shift,2,6,29,1.2887883186340332
shift,2,6,31,2.1573657989501953
shift,2,6,32,1.685697317123413
shift,2,6,36,0.8474522829055786
shift,2,6,37,0.38919970393180847
shift,2,6,38,0.19679364562034607
shift,2,6,42,2.140331268310547
shift,2,6,43,1.6846823692321777
shift,2,6,45,2.5390162467956543
shift,2,6,47,0.7345289587974548
shift,2,7,0,0.08374109864234924
shift,2,7,3,2.142402410507202
shift,2,7,4,1.0454150438308716
shift,2,7,5,1.9831377267837524
shift,2,7,9,2.720383644104004
shift,2,7,11,1.7156604528427124
shift,2,7,12,0.9313831925392151
shift,2,7,14,2.4262731075286865
shift,2,7,16,2.505833387374878
shift,2,7,17,2.5174143314361572
shift,2,7,20,1.7765634059906006
shift,2,7,21,2.460449457168579
shift,2,7,22,2.454725980758667
shift,2,7,25,1.9429006576538086
shift,2,7,27,2.1847822666168213
shift,2,7,30,1.9742722511291504
shift,2,7,33,2.789470672607422
shift,2,7,34,1.3849934339523315
shift,2,7,35,2.0830676555633545
shift,2,7,39,1.3946372270584106
shift,2,7,40,1.24795663356781
shift,2,7,41,1.7502868175506592
shift,2,7,44,0.9687488079071045
shift,2,7,46,0.7900503277778625
scale,1,0,4,0.16627325117588043
scale,1,0,8,0.014016835950314999
scale,1,0,9,0.0806165486574173
scale,1,0,10,0.4743378758430481
scale,1,0,12,0.6284026503562927
scale,1,0,14,0.4742799699306488
scale,1,0,15,0.5313721895217896
scale,1,0,16,0.7133772969245911
scale,1,0,17,0.619053065776825
scale,1,0,19,0.012204956263303757
scale,1,0,20,0.02650197222828865
scale,1,0,21,0.04173567146062851
scale,1,0,22,0.10527676343917847
scale,1,0,27,0.006047054193913937
scale,1,0,29,0.005217711441218853
scale,1,0,30,0.010136042721569538
scale,1,0,35,0.07357943803071976
scale,1,0,36,0.6689449548721313
scale,1,0,37,0.384796142578125
scale,1,0,39,0.18222983181476593
scale,1,0,41,1.7940160036087036
scale,1,0,42,1.85042142868042
scale,1,0,45,0.24853269755840302
scale,1,0,47,1.5751945972442627
scale,1,1,0,0.9690890908241272
scale,1,1,1,0.09396515786647797
scale,1,1,2,0.025547081604599953
scale,1,1,3,0.04999060556292534
scale,1,1,5,0.024938277900218964
scale,1,1,6,0.11578402668237686
scale,1,1,7,0.12351295351982117
scale,1,1,11,0.24425233900547028
scale,1,1,13,0.09459295868873596
scale,1,1,18,0.458212673664093
scale,1,1,23,0.004521557595580816
scale,1,1,24,0.0011796902399510145
scale,1,1,25,0.17003995180130005
scale,1,1,26,0.010142912156879902
scale,1,1,28,0.08030424267053604
scale,1,1,31,0.019212786108255386
scale,1,1,32,0.05448877066373825
scale,1,1,33,0.21831202507019043
scale,1,1,34,0.0031464477069675922
scale,1,1,38,1.5020334720611572
scale,1,1,40,0.0659797340631485
scale,1,1,43,0.803730845451355
scale,1,1,44,1.2715178728103638
scale,1,1,46,1.7771552801132202
scale,1,2,0,0.06421680748462677
scale,1,2,1,2.5823252201080322
scale,1,2,5,2.457895517349243
scale,1,2,6,2.127140998840332
scale,1,2,7,0.31358814239501953
scale,1,2,8,2.545682191848755
scale,1,2,9,2.332854747772217
scale,1,2,13,0.622016429901123
scale,1,2,14,2.2172815799713135
scale,1,2,17,2.020695209503174
scale,1,2,19,2.0460078716278076
scale,1,2,21,1.9830741882324219
scale,1,2,22,1.6704565286636353
scale,1,2,23,1.836499810218811
scale,1,2,27,2.501828193664551
scale,1,2,31,2.426426649093628
scale,1,2,33,2.0542168617248535
scale,1,2,34,1.651123285293579
scale,1,2,35,2.6361887454986572
scale,1,2,36,0.015913140028715134
scale,1,2,38,0.0683470144867897
scale,1,2,41,0.1560557782649994
scale,1,2,42,0.6309906244277954
scale,1,2,45,0.5303903818130493
scale,1,3,2,1.794514536857605
scale,1,3,3,1.582364797592163
scale,1,3,4,2.0466132164001465
scale,1,3,10,0.011761627160012722
scale,1,3,11,0.03276291862130165
scale,1,3,12,0.03284863755106926
scale,1,3,15,2.3356306552886963
scale,1,3,16,0.30542510747909546
scale,1,3,18,2.311157703399658
scale,1,3,20,0.7697768807411194
scale,1,3,24,2.155521869659424
scale,1,3,25,0.0015367212472483516
scale,1,3,26,1.9173859357833862
scale,1,3,28,0.03896287828683853
scale,1,3,29,0.007253824267536402
scale,1,3,30,0.06077335774898529
scale,1,3,32,0.6405571103096008
scale,1,3,37,0.34617719054222107
scale,1,3,39,0.9858393669128418
scale,1,3,40,0.505025327205658
scale,1,3,43,0.25194722414016724
scale,1,3,44,0.27220281958580017
scale,1,3,46,0.851452648639679
scale,1,3,47,0.44257619976997375
scale,1,4,0,1.7787996530532837
scale,1,4,2,0.7985143065452576
scale,1,4,3,0.4634411931037903
scale,1,4,7,0.4126986563205719
scale,1,4,8,0.6920850872993469
scale,1,4,11,1.2350319623947144
scale,1,4,13,0.9317718148231506
scale,1,4,14,1.6397395133972168
scale,1,4,16,0.6104841828346252
scale,1,4,17,0.7020049691200256
scale,1,4,19,0.314540296792984
scale,1,4,20,0.1445082128047943
scale,1,4,22,0.45508021116256714
scale,1,4,26,1.3719815015792847
scale,1,4,27,0.9069656729698181
scale,1,4,29,0.8338769674301147
scale,1,4,32,0.30974140763282776
scale,1,4,33,1.4124890565872192
scale,1,4,37,0.10248791426420212
scale,1,4,38,2.6552820205688477
scale,1,4,39,0.03498809039592743
scale,1,4,41,0.227190762758255
scale,1,4,44,1.3534131050109863
scale,1,4,45,0.41348740458488464
scale,1,5,1,2.0202043056488037
scale,1,5,4,1.0870471000671387
scale,1,5,5,0.7861570119857788
scale,1,5,6,0.5677406787872314
scale,1,5,9,1.8039650917053223
scale,1,5,10,0.6042591333389282
scale,1,5,12,1.901740550994873
scale,1,5,15,1.3068479299545288
scale,1,5,18,0.8398536443710327
scale,1,5,21,1.9722212553024292
scale,1,5,23,1.1921173334121704
