seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_last_j,pip_last_k,pip_mcmc_j,pip_mcmc_k,slab_skl_j,slab_skl_k,joint_skl
404,true_active_true_active,52,1,53,2,-1.4039316,-1.4139572,1.0,1.0,1.0,1.0,13.858794717658176,14.949094597629223,17.277727035629727
404,true_active_true_active,52,32,53,33,-1.4039316,1.9368105,1.0,1.0,1.0,1.0,13.858794717658176,15.593709731591343,18.086673129875987
404,true_active_true_active,51,1,52,2,1.1569318,-1.4139572,1.0,1.0,1.0,1.0,14.065675118046057,14.949094597629223,17.254182703162865
404,true_active_true_active,51,32,52,33,1.1569318,1.9368105,1.0,1.0,1.0,1.0,14.065675118046057,15.593709731591343,18.271735313231943
404,true_active_true_active,1,32,2,33,-1.4139572,1.9368105,1.0,1.0,1.0,1.0,14.949094597629223,15.593709731591343,18.14713740072163
405,true_active_true_active,12,67,13,68,-1.7664903,1.1482327,1.0,1.0,1.0,1.0,13.459446455715709,13.904936760252456,15.92042206193927
405,true_active_true_active,12,35,13,36,-1.7664903,1.3372941,1.0,1.0,1.0,1.0,13.459446455715709,13.982964803956673,18.433110944888814
405,true_active_true_active,12,91,13,92,-1.7664903,-1.5384758,1.0,1.0,1.0,1.0,13.459446455715709,15.157026048206891,18.329574426877787
405,true_active_true_active,12,98,13,99,-1.7664903,-1.8072733,1.0,1.0,1.0,1.0,13.459446455715709,16.03937223146289,18.508257027723037
405,true_active_true_active,12,65,13,66,-1.7664903,-1.9012158,1.0,1.0,1.0,1.0,13.459446455715709,16.31758866276341,16.348589503688068
405,true_active_true_active,12,82,13,83,-1.7664903,-0.3744578,1.0,0.99975,1.0,0.627,13.459446455715709,18.393732893671654,17.920050511232407
405,true_active_true_active,12,70,13,71,-1.7664903,-1.0672966,1.0,1.0,1.0,1.0,13.459446455715709,18.903109870068704,21.717172171153237
405,true_active_true_active,67,35,68,36,1.1482327,1.3372941,1.0,1.0,1.0,1.0,13.904936760252456,13.982964803956673,15.88354279831196
405,true_active_true_active,67,91,68,92,1.1482327,-1.5384758,1.0,1.0,1.0,1.0,13.904936760252456,15.157026048206891,16.965451739523807
405,true_active_true_active,67,98,68,99,1.1482327,-1.8072733,1.0,1.0,1.0,1.0,13.904936760252456,16.03937223146289,17.590425773164664
