seed,j0,j1,beta_true,truth,pip_last,pip_mcmc,pip_absdiff,pip_js,spike_js,selected_last,selected_mcmc,tp_both,tn_both,mean_last,mean_mcmc,sd_last,sd_mcmc,slab_skl
400,88,89,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-2.7192465e-41,-0.012207828450368762,1.7198024918882114e-39,0.05037810677871512,
400,89,90,0.32838634,1,0.0,0.1655,0.1655,0.061095582663381054,0.061095582663381054,0,0,False,False,0.3445884284125,0.34499731302387904,0.003503294053399479,0.16707357044813018,
400,90,91,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.18284702983,-0.0004019500159633121,0.004228483235158019,0.026507349083553133,
400,91,92,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.18474350081500002,-0.009660706050170957,0.003662044430668186,0.045427224679030154,
400,92,93,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.0,0.005524115382987539,0.0,0.034176185702157386,
400,93,94,0.0,0,0.0,0.003625,0.003625,0.001257909279132359,0.001257909279132359,0,0,False,True,0.1970227081625,-0.04916248360010606,0.002767803392866189,0.10857786620541227,
400,94,95,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.2560923804125,-0.0031808690506595744,0.0032889312388820063,0.03227481931933474,
400,95,96,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.14836260722100003,0.0013027202481895848,0.0028762773860545516,0.029876180957975288,
400,96,97,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.4004810947575,0.004263320703761936,0.0035457541344092037,0.03618682158105018,
400,97,98,-1.7154912,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-1.3650508107750001,-1.6377127798673623,0.003192387906887008,0.11290477586352932,17.015923547476085
400,98,99,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.4446619725475,-0.0037202065061258116,0.0038380860070858277,0.028793750918754028,
400,99,100,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.25679221089,-0.003179565412189646,0.0034956366545537765,0.02969996996351504,
401,0,1,0.0,0,0.0,0.000875,0.000875,0.0003032892030604246,0.0003032892030604246,0,0,False,True,-0.18741445025249998,-0.041028072304696246,0.002430342755739796,0.09072584805222336,
401,1,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,1.298967194670721e-20,-0.01299604244124668,8.214182806772002e-19,0.05114867432827362,
401,2,3,0.0,0,0.0,0.00025,0.00025,8.659904290211192e-05,8.659904290211192e-05,0,0,False,True,-0.3418870755775,-0.0277742684782516,0.003230345449686209,0.0753756906788293,
401,3,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.13111418402825,0.0023773232182660703,0.0014778427027146062,0.030497942055721722,
401,4,5,-0.8852809,1,1.0,0.9995,0.0004999999999999449,0.0001732624184988295,0.0001732624184988295,1,1,True,False,-1.065738031925,-0.9796967757622119,0.005786237384764518,0.12463768047762341,12.006965292444768
401,5,6,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,1.2103796035184384e-21,-0.0028106875629721573,4.7397394399964717e-20,0.030296983388856225,
401,6,7,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.11540998759925,0.007796066932439069,0.002499860626428882,0.04150115384722333,
401,7,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.1038297814335,0.001066846557732579,0.001331990154342437,0.03004929087607544,
401,8,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,2.683422380962368e-09,0.006754925294471044,1.2739716648564762e-07,0.03988053546680879,
401,9,10,0.0,0,0.0,0.000125,0.000125,4.3274949835870214e-05,4.3274949835870214e-05,0,0,False,True,0.2679750754375,0.0056318021372060035,0.002113818163741195,0.03627478467507406,
401,10,11,1.2219847,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,1.17328312405,1.135400136411878,0.006429605806571549,0.13599667544280475,11.118813334073193
401,11,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.0543156813235,-0.0035697502880368097,0.0036010987736636597,0.03404940365453148,
401,12,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,5.237966895351801e-15,-0.007955477000678647,1.826377385592017e-13,0.042874582741177836,
401,13,14,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.136997978375,0.0013327855475734444,0.0035499911122825333,0.02353152197138009,
