seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_absdiff_j,pip_absdiff_k,pre_score,pair_mean_l2,pair_cov_fro,pair_corr_absdiff,pair_mmd2,pair_score
400,active_zero,49,15,50,16,1.7504162,0.0,0.0,0.0,0.32040861471157295,0.11597708883540056,0.013795549460135887,0.010148758719123852,0.6966546173333761,1.0331247041654354
400,active_zero,49,61,50,62,1.7504162,0.0,0.0,0.0,0.32134123575238127,0.11595697625913419,0.013807875777030224,0.15396493203739478,0.6827196299038101,1.0345050254301018
400,active_zero,18,23,19,24,-1.6515998,0.0,0.0,0.000125,0.3219153741819026,0.10467150189369709,0.013235096228528424,0.43476093418488737,0.6805354228809887,1.0597028147278817
400,active_zero,49,73,50,74,1.7504162,0.0,0.0,0.0,0.32226919688848604,0.11595835647914934,0.013809924449039637,0.15175898311714417,0.7066293516936035,1.0591227636539788
400,active_zero,49,58,50,59,1.7504162,0.0,0.0,0.0,0.32239253663688505,0.11595020297149804,0.013822486247182521,0.1945118976092417,0.7133727371378837,1.0702671053946382
400,active_zero,49,22,50,23,1.7504162,0.0,0.0,0.0,0.3225019048572649,0.11597171821292916,0.013814344952385775,0.04735611461659322,0.7557607223783607,1.098048996756674
400,active_zero,49,87,50,88,1.7504162,0.0,0.0,0.0,0.3258721934440885,0.11600362383313356,0.013822672765813546,0.025831252592824507,0.6545817613725985,0.9980931106507362
400,active_zero,49,9,50,10,1.7504162,0.0,0.0,0.0,0.3260690304935594,0.11600013724489523,0.013820642378391744,0.012559298304357477,0.7107686742680398,1.0531488089111223
400,active_zero,49,4,50,5,1.7504162,0.0,0.0,0.0,0.3261352623523436,0.11600545317474241,0.013820588694869356,0.14232697124663773,0.734636479358948,1.0900601313271472
400,active_zero,49,28,50,29,1.7504162,0.0,0.0,0.0,0.3263554534699871,0.11604988778795003,0.013814407440247655,0.001196560560543885,0.7259403590479733,1.0674740592128718
400,active_zero,18,33,19,34,-1.6515998,0.0,0.0,0.000125,0.3268184712580836,0.1050770841028482,0.013313826773212342,0.056562839810865406,0.6850814243233703,1.0313923446661286
400,active_zero,49,76,50,77,1.7504162,0.0,0.0,0.0,0.3269126799434215,0.11603447952354982,0.013818976362776224,0.022068935836910667,0.7195341735216814,1.0637119390918428
400,active_zero,49,68,50,69,1.7504162,0.0,0.0,0.0,0.3279344836263147,0.1160257592012451,0.013828644649182946,0.1556551575161164,0.6995187038809761,1.058078440341323
400,active_zero,49,92,50,93,1.7504162,0.0,0.0,0.0,0.3288312651249592,0.11608132620284851,0.013824819978267473,0.032730636863259305,0.6987735919176082,1.0459422583437448
400,active_zero,49,17,50,18,1.7504162,0.0,0.0,0.0,0.3291024346020013,0.11609531259951612,0.013825635249154486,0.15311693159411938,0.7182726650631532,1.0777527328968066
400,active_zero,49,27,50,28,1.7504162,0.0,0.0,0.000125,0.3294151460225301,0.1159498428605952,0.013846070850115903,0.28340691710863786,0.6870640187110981,1.0598763584430804
400,active_zero,49,41,50,42,1.7504162,0.0,0.0,0.0,0.32981435194354447,0.1160870004663085,0.013830217606994155,0.1840838856431041,0.7464497300186569,1.1097387249748913
400,active_zero,18,88,19,89,-1.6515998,0.0,0.0,0.0,0.33173759595454766,0.10537548841425234,0.013325411179082274,0.15919741329608672,0.6754014701962476,1.0369277091165996
