seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_absdiff_j,pip_absdiff_k,pre_score,pair_mean_l2,pair_cov_fro,pair_corr_absdiff,pair_mmd2,pair_score
401,active_active,4,25,5,26,-0.8852809,-0.50801575,0.0004999999999999449,0.34624999999999995,0.8459338950523135,0.10708011176966557,0.02337730828123368,0.5381969420004977,0.6154812204017388,1.531787147901377
401,active_active,68,25,69,26,0.8727183,-0.50801575,0.04162500000000002,0.34624999999999995,0.8599483235204369,0.08637930158526225,0.02485745630233123,0.7070487356191525,0.6122065433704517,1.5577120346869129
402,active_active,3,0,4,1,0.925711,0.81284773,0.0,0.028750000000000053,0.41142231602522383,0.04799973744044876,0.021953723644836807,0.7265362322804775,0.548286327435965,1.0426506713444905
402,active_active,3,49,4,50,0.925711,-1.8248357,0.0,0.0,0.42427205473786345,0.08512624749636408,0.020619378315258004,0.31867106869917716,0.5873662991039071,1.0571729300401391
402,active_active,3,84,4,85,0.925711,1.6387773,0.0,0.0,0.4943183568586182,0.11371120488462928,0.02442846850477213,0.5829030545165547,0.617608778315427,1.1876956782403567
402,active_active,3,57,4,58,0.925711,1.7605225,0.0,0.0,0.502432590857206,0.13408309892736775,0.019464231897747243,0.4059845144231747,0.689831973959825,1.251137384126522
402,active_active,3,72,4,73,0.925711,-0.9873099,0.0,0.00024999999999997247,0.5256618925321966,0.139782677681822,0.021502518626950393,0.5525994799972744,0.6663340721309858,1.2666098100878296
402,active_active,3,39,4,40,0.925711,-0.7040978,0.0,0.007249999999999979,0.5753357020641127,0.16629926008931364,0.020834554986966052,0.305396495755584,0.7640141955784268,1.3917281119737706
402,active_active,3,70,4,71,0.925711,0.6938954,0.0,0.12250000000000005,0.5867696364837759,0.10303142538801359,0.02198868806456504,0.6356197858468482,0.6023606964667362,1.2684926260901395
402,active_active,3,2,4,3,0.925711,-1.2326791,0.0,0.0,0.6147720667438489,0.19209500417382142,0.02027049091707859,0.4433296427802549,0.7953899977112949,1.4787721518798211
402,active_active,3,81,4,82,0.925711,0.9369162,0.0,0.0,0.6503879100552301,0.20881136678063625,0.020835252540658832,0.6513406345515996,0.8494092738174169,1.5910211971410353
402,active_active,0,49,1,50,0.81284773,-1.8248357,0.028750000000000053,0.0,0.48824530116317866,0.09469929296822534,0.02141710878548157,0.21402656345946083,0.6295186589188995,1.1539908229212172
402,active_active,0,84,1,85,0.81284773,1.6387773,0.028750000000000053,0.0,0.5582916032839333,0.12104427368605125,0.024702753852924687,0.35288870286790935,0.5942738434343747,1.2061344328369352
402,active_active,0,57,1,58,0.81284773,1.7605225,0.028750000000000053,0.0,0.5664058372825213,0.14035581745633427,0.019651600859237464,0.6053432135170823,0.7047332679080531,1.3506219085027253
402,active_active,0,72,1,73,0.81284773,-0.9873099,0.028750000000000053,0.00024999999999997247,0.5896351389575119,0.14581040791304878,0.02216176024834119,0.6381925713612349,0.7056112887502265,1.379187165697252
402,active_active,0,39,1,40,0.81284773,-0.7040978,0.028750000000000053,0.007249999999999979,0.6393089484894279,0.1713969719164336,0.020891814768547238,0.539951981166836,0.7744558814524098,1.4901226789423014
402,active_active,0,70,1,71,0.81284773,0.6938954,0.028750000000000053,0.12250000000000005,0.6507428829090911,0.11107183573415609,0.021948326991923794,0.7362711308436042,0.6417320359322257,1.3826962972470735
402,active_active,0,2,1,3,0.81284773,-1.2326791,0.028750000000000053,0.0,0.6787453131691641,0.19652472797185094,0.020491775731639413,0.6166024945256644,0.7843548993709138,1.5495358787227393
402,active_active,0,81,1,82,0.81284773,0.9369162,0.028750000000000053,0.0,0.7143611564805452,0.21289355314961264,0.021024321832548463,0.8576915496056514,0.894375319152757,1.7210510663669658
402,active_active,49,84,50,85,-1.8248357,1.6387773,0.0,0.0,0.571141341996573,0.1399793535155949,0.02334080502200875,0.6139624305809841,0.6964696128823222,1.3488403345440554
402,active_active,49,57,50,58,-1.8248357,1.7605225,0.0,0.0,0.5792555759951609,0.1569785294627773,0.018091722835529036,0.13519689508535374,0.7520024024410161,1.3649984515998723
402,active_active,49,72,50,73,-1.8248357,-0.9873099,0.0,0.00024999999999997247,0.6024848776701515,0.1618739579865455,0.02036136204505303,0.6877513084036989,0.7350165872956124,1.4275543321160513
402,active_active,49,39,50,40,-1.8248357,-0.7040978,0.0,0.007249999999999979,0.6521586872020675,0.18525502746371808,0.019459432315240072,0.37139074236492886,0.7943336949611935,1.507021817224936
402,active_active,49,70,50,71,-1.8248357,0.6938954,0.0,0.12250000000000005,0.6635926216217307,0.13145134427542218,0.020562534674167084,0.015416909112911777,0.6582116357151125,1.3416317163442182
402,active_active,49,2,50,3,-1.8248357,-1.2326791,0.0,0.0,0.6915950518818037,0.20872103852479806,0.01915603700592066,0.17047848076304437,0.8318109670158452,1.566114980077913
402,active_active,49,81,50,82,-1.8248357,0.9369162,0.0,0.0,0.7272108951931848,0.22420117794321945,0.01979230339832439,0.0738085414119948,0.881331074754877,1.6432910177331643
402,active_active,84,57,85,58,1.6387773,1.7605225,0.0,0.0,0.6493018781159157,0.1741436729134824,0.022407768294241136,0.5426773756825687,0.7882462255355924,1.5148321505846734
