method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,1250,0,unit,0,0,0,0,group,1.0,0.5937789082527161,1.2771387100219727,0.37467658519744873,2.3797097206115723,2.3774826526641846
RaT,1250,1,unit,0,0,1,1,group,0.10599999874830246,0.002244403352960944,-0.7009260058403015,0.6228777766227722,2.4861440658569336,2.4600887298583984
RaT,1250,2,unit,0,0,2,2,group,0.07800000160932541,0.0021536326967179775,-0.7368760704994202,0.6212655305862427,2.464773178100586,2.4463086128234863
RaT,1250,3,unit,0,0,3,3,group,0.0689999982714653,0.0014385310932993889,-0.7800586223602295,0.6250516176223755,2.4878859519958496,2.4795095920562744
RaT,1250,4,unit,0,0,4,4,group,1.0,0.6156220436096191,1.3115441799163818,0.29311296343803406,2.4237029552459717,2.426464796066284
RaT,1500,0,unit,0,0,0,0,group,1.0,0.5769741535186768,1.2164841890335083,0.3128111958503723,2.343362808227539,2.35727858543396
RaT,1500,1,unit,0,0,1,1,group,0.14100000262260437,0.005085337441414595,-0.6419638395309448,0.6274450421333313,2.4655745029449463,2.43340802192688
RaT,1500,2,unit,0,0,2,2,group,0.125,0.004565640352666378,-0.6398043036460876,0.6245297193527222,2.4847476482391357,2.5009536743164062
RaT,1500,3,unit,0,0,3,3,group,0.10599999874830246,0.0035463152453303337,-0.6877763271331787,0.5865315794944763,2.454341411590576,2.428758144378662
RaT,1500,4,unit,0,0,4,4,group,1.0,0.6441609263420105,1.395444631576538,0.3037194311618805,2.4171597957611084,2.418030261993408
RaT,1750,0,unit,0,0,0,0,group,1.0,0.5669578909873962,1.2046682834625244,0.35405296087265015,2.340766668319702,2.3455581665039062
RaT,1750,1,unit,0,0,1,1,group,0.12399999797344208,0.004243763163685799,-0.6305135488510132,0.5983338952064514,2.457090377807617,2.4329755306243896
RaT,1750,2,unit,0,0,2,2,group,0.12099999934434891,0.0034863108303397894,-0.6691222786903381,0.6304165124893188,2.501251459121704,2.474606513977051
RaT,1750,3,unit,0,0,3,3,group,0.13099999725818634,0.004266994073987007,-0.6605744361877441,0.6190693974494934,2.5389792919158936,2.5358810424804688
RaT,1750,4,unit,0,0,4,4,group,1.0,0.5905600786209106,1.2383270263671875,0.2670536935329437,2.4567644596099854,2.460578680038452
RaT,2000,0,unit,0,0,0,0,group,1.0,0.5983818769454956,1.2911449670791626,0.3785221576690674,2.3912367820739746,2.3888063430786133
RaT,2000,1,unit,0,0,1,1,group,0.1809999942779541,0.006746627390384674,-0.5546491742134094,0.6047367453575134,2.406057596206665,2.38350248336792
