method,epoch,group_id,selection_type,block,layer,feature,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
VI,750,0,feature,input,-1,0,input,1.0,0.750751793384552,1.8061455488204956,0.3734474182128906,2.3991003036499023,2.377885580062866
VI,750,1,feature,input,-1,1,input,0.3479999899864197,0.032467447221279144,-0.3152991235256195,0.5931603908538818,1.9213420152664185,1.8970365524291992
VI,750,2,feature,input,-1,2,input,0.2770000100135803,0.01973032020032406,-0.38326701521873474,0.5683437585830688,1.9608591794967651,1.966325283050537
VI,750,3,feature,input,-1,3,input,1.0,0.7887570261955261,1.9803335666656494,0.30108898878097534,2.680229663848877,2.6594324111938477
VI,750,4,feature,input,-1,4,input,0.24699999392032623,0.01433572731912136,-0.3905802071094513,0.5370050668716431,2.003499984741211,1.9938814640045166
VI,750,5,feature,input,-1,5,input,0.34200000762939453,0.021491581574082375,-0.29688146710395813,0.5538961291313171,2.028517246246338,2.0327718257904053
VI,1000,0,feature,input,-1,0,input,1.0,0.6922564506530762,1.5506592988967896,0.31529465317726135,2.1295082569122314,2.119375467300415
VI,1000,1,feature,input,-1,1,input,0.23199999332427979,0.01198123674839735,-0.4707382917404175,0.5882691740989685,1.973551869392395,1.9560645818710327
VI,1000,2,feature,input,-1,2,input,0.15199999511241913,0.005953111685812473,-0.6681483387947083,0.636116623878479,1.9714795351028442,1.9605872631072998
VI,1000,3,feature,input,-1,3,input,1.0,0.7025713920593262,1.58099365234375,0.2795392572879791,2.3149185180664062,2.291710615158081
VI,1000,4,feature,input,-1,4,input,0.16699999570846558,0.006169335916638374,-0.6144247055053711,0.6385359764099121,2.0357940196990967,2.0217368602752686
VI,1000,5,feature,input,-1,5,input,0.22499999403953552,0.008471418172121048,-0.4979895353317261,0.5965915322303772,1.95919930934906,1.9330835342407227
VI,1250,0,feature,input,-1,0,input,1.0,0.6771175265312195,1.4895696640014648,0.2823585271835327,2.055377960205078,2.045029640197754
VI,1250,1,feature,input,-1,1,input,0.1599999964237213,0.006320567335933447,-0.6780866980552673,0.6598736047744751,2.046799898147583,2.072613000869751
VI,1250,2,feature,input,-1,2,input,0.17900000512599945,0.007509113755077124,-0.6203794479370117,0.6566464900970459,2.0848028659820557,2.0617728233337402
VI,1250,3,feature,input,-1,3,input,1.0,0.6729828119277954,1.484645962715149,0.3001064658164978,2.2601733207702637,2.2450344562530518
VI,1250,4,feature,input,-1,4,input,0.17399999499320984,0.00880725122988224,-0.649167001247406,0.6708530783653259,2.0975708961486816,2.085169553756714
VI,1250,5,feature,input,-1,5,input,0.15600000321865082,0.0044029476121068,-0.6746774911880493,0.6444973349571228,2.13541316986084,2.117877960205078
VI,1500,0,feature,input,-1,0,input,1.0,0.5921627283096313,1.2373803853988647,0.25487563014030457,1.9787794351577759,1.9742487668991089
VI,1500,1,feature,input,-1,1,input,0.26499998569488525,0.012589855119585991,-0.47827330231666565,0.6198596358299255,1.9926793575286865,1.9832757711410522
VI,1500,2,feature,input,-1,2,input,0.2409999966621399,0.008972084149718285,-0.5013221502304077,0.6206675171852112,2.0527119636535645,2.041555881500244
VI,1500,3,feature,input,-1,3,input,1.0,0.6429059505462646,1.3866623640060425,0.28758105635643005,2.2473251819610596,2.2141058444976807
VI,1500,4,feature,input,-1,4,input,0.1889999955892563,0.0078642712906003,-0.6307011246681213,0.6659584045410156,2.0152904987335205,1.9924168586730957
VI,1500,5,feature,input,-1,5,input,0.19099999964237213,0.006967986933887005,-0.610520601272583,0.6579849720001221,2.0124001502990723,1.9846724271774292
VI,1750,0,feature,input,-1,0,input,1.0,0.6227821707725525,1.3130704164505005,0.23575808107852936,1.910064458847046,1.8994990587234497
