j,beta_mean,beta_sd,gate_mean,gate_sd,pip,pip_sd,selected,beta_true,truth,mcmc_beta_mean,mcmc_beta_sd,mcmc_pip,beta_mean_abs_error,beta_sd_abs_error,pip_abs_error
16,-0.0032667678,0.059695832,0.05831208,0.05553905,0.00025,0.015811307,0,0.0,0,-0.009643027979685454,0.04669397071505115,0.0,0.006376260148166208,0.013001861716265224,0.0002500000118743628
17,-0.006792801,0.064377144,0.06210823,0.06111775,0.00075,0.027378518,0,0.0,0,-0.005810608000183958,0.03429286504659375,0.0,0.0009821929664662896,0.030084278932478822,0.000750000006519258
18,-1.5811871,0.14713226,0.667181,0.054609783,0.9965,0.05906529,1,-1.6515998,1,-1.7586696957076862,0.11446302028103314,1.0,0.17748256668699525,0.03266924230651416,0.0034999847412109375
19,0.0322464,0.078387365,0.07145808,0.06600235,0.001,0.031610496,0,0.0,0,0.007440352907143162,0.038863646018359364,0.0,0.024806046763696146,0.03952371872678071,0.0010000000474974513
20,0.025747659,0.070055865,0.06754002,0.063427635,0.001,0.03161036,0,0.0,0,0.01117813642264154,0.047890314202576174,0.0,0.0145695222622082,0.022165550548762784,0.0010000000474974513
21,-0.017068613,0.06703053,0.06560809,0.060154535,0.001,0.031610627,0,0.0,0,0.0013471127327955316,0.028807167859494134,0.0,0.018415726053384596,0.038223358838141513,0.0010000000474974513
22,0.00509057,0.060427435,0.058371197,0.05874185,0.00125,0.035338145,0,0.0,0,0.002254103593777395,0.03101420312825773,0.0,0.002836466483522677,0.029413231614192983,0.0012499999720603228
23,0.0033148783,0.06075251,0.057205398,0.05571456,0.0005,0.022357713,0,0.0,0,0.009789161420436265,0.04492370979608946,0.000125,0.006474283094526889,0.01582880122838564,0.00037500002374872565
24,-0.0041043526,0.05626247,0.05869171,0.05508957,0.0005,0.022357633,0,0.0,0,-0.00312823267459253,0.03116969513413966,0.0,0.0009761198815765029,0.025092775647663473,0.0005000000237487257
25,-1.0270864,0.13915382,0.53566843,0.06429021,0.712,0.45289263,1,-1.152345,1,-1.009284809271207,0.11082806205450083,1.0,0.017801567872652857,0.02832576120199179,0.2879999876022339
26,-0.0024446237,0.06648237,0.06048248,0.056074467,0.00025,0.015811369,0,0.0,0,0.0011758947190572725,0.025126545556532497,0.0,0.003620518455721925,0.04135582702542627,0.0002500000118743628
27,-0.0021309117,0.0566292,0.05705233,0.054185633,0.00025,0.015811305,0,0.0,0,-0.005441399523369937,0.03738082130171793,0.000125,0.003310487837843566,0.019248378232936687,0.00012500001187436282
