run_id,seed,selector,ckpt_id,epoch,tau,score,oracle_score,regret,ratio,final_score
F01_seed_413,413,min_loss,61,1500,0.8,1.27138416,0.6806334,0.5907507599999999,1.8679426545920312,1.27138416
F01_seed_413,413,min_loss_ema,61,1500,0.8,1.27138416,0.6806334,0.5907507599999999,1.8679426545920312,1.27138416
F01_seed_414,414,oracle,16,375,0.8,0.88621239,0.88621239,0.0,1.0,1.53710232
F01_seed_414,414,lasso,29,700,0.8,1.00588012,0.88621239,0.11966773000000008,1.1350327882461675,1.53710232
F01_seed_414,414,final,61,1500,0.8,1.53710232,0.88621239,0.6508899300000001,1.734462683375483,1.53710232
F01_seed_414,414,min_loss,60,1475,0.8,1.50166482,0.88621239,0.61545243,1.6944750907849528,1.53710232
F01_seed_414,414,min_loss_ema,61,1500,0.8,1.53710232,0.88621239,0.6508899300000001,1.734462683375483,1.53710232
F01_seed_415,415,oracle,26,625,0.8,0.45861742,0.45861742,0.0,1.0,2.005108
F01_seed_415,415,lasso,27,650,0.8,0.57484045,0.45861742,0.11622302999999995,1.2534204435583802,2.005108
F01_seed_415,415,final,61,1500,0.8,2.005108,0.45861742,1.54649058,4.372071169908897,2.005108
F01_seed_415,415,min_loss,61,1500,0.8,2.005108,0.45861742,1.54649058,4.372071169908897,2.005108
F01_seed_415,415,min_loss_ema,61,1500,0.8,2.005108,0.45861742,1.54649058,4.372071169908897,2.005108
F01_seed_416,416,oracle,48,1175,0.8,0.75652557,0.75652557,0.0,1.0,1.26352535
F01_seed_416,416,lasso,32,775,0.8,0.96984584,0.75652557,0.21332026999999998,1.2819736416840477,1.26352535
F01_seed_416,416,final,61,1500,0.8,1.26352535,0.75652557,0.5069997800000001,1.6701687293927159,1.26352535
F01_seed_416,416,min_loss,60,1475,0.8,1.22277803,0.75652557,0.46625246,1.6163076021343203,1.26352535
F01_seed_416,416,min_loss_ema,61,1500,0.8,1.26352535,0.75652557,0.5069997800000001,1.6701687293927159,1.26352535
F01_seed_417,417,oracle,54,1325,0.8,1.37558261,1.37558261,0.0,1.0,1.62643453
F01_seed_417,417,lasso,32,775,0.8,1.50499711,1.37558261,0.1294145,1.094079773224234,1.62643453
F01_seed_417,417,final,61,1500,0.8,1.62643453,1.37558261,0.2508519200000001,1.1823604908759353,1.62643453
F01_seed_417,417,min_loss,61,1500,0.8,1.62643453,1.37558261,0.2508519200000001,1.1823604908759353,1.62643453
F01_seed_417,417,min_loss_ema,61,1500,0.8,1.62643453,1.37558261,0.2508519200000001,1.1823604908759353,1.62643453
F01_seed_418,418,oracle,33,800,0.8,0.51298302,0.51298302,0.0,1.0,0.6042524
F01_seed_418,418,lasso,33,800,0.8,0.51298302,0.51298302,0.0,1.0,0.6042524
F01_seed_418,418,final,61,1500,0.8,0.6042524,0.51298302,0.09126938000000007,1.1779189104543852,0.6042524
F01_seed_418,418,min_loss,61,1500,0.8,0.6042524,0.51298302,0.09126938000000007,1.1779189104543852,0.6042524
F01_seed_418,418,min_loss_ema,61,1500,0.8,0.6042524,0.51298302,0.09126938000000007,1.1779189104543852,0.6042524
F01_seed_419,419,oracle,39,950,0.8,0.68065261,0.68065261,0.0,1.0,1.11713002
F01_seed_419,419,lasso,35,850,0.8,0.74613358,0.68065261,0.06548096999999997,1.0962032159106831,1.11713002
F01_seed_419,419,final,61,1500,0.8,1.11713002,0.68065261,0.43647741000000007,1.641263110707825,1.11713002
F01_seed_419,419,min_loss,61,1500,0.8,1.11713002,0.68065261,0.43647741000000007,1.641263110707825,1.11713002
F01_seed_419,419,min_loss_ema,61,1500,0.8,1.11713002,0.68065261,0.43647741000000007,1.641263110707825,1.11713002
F01_seed_420,420,oracle,33,800,0.8,0.58388249,0.58388249,0.0,1.0,1.8575966
F01_seed_420,420,lasso,31,750,0.8,0.62981366,0.58388249,0.04593117000000002,1.0786650923544565,1.8575966
F01_seed_420,420,final,61,1500,0.8,1.8575966,0.58388249,1.2737141099999998,3.1814562550077494,1.8575966
F01_seed_420,420,min_loss,60,1475,0.8,1.82219233,0.58388249,1.2383098399999999,3.1208203040992033,1.8575966
F01_seed_420,420,min_loss_ema,61,1500,0.8,1.8575966,0.58388249,1.2737141099999998,3.1814562550077494,1.8575966
F01_seed_421,421,oracle,32,775,0.8,0.67276502,0.67276502,0.0,1.0,1.31067114
F01_seed_421,421,lasso,36,875,0.8,0.78361542,0.67276502,0.1108503999999999,1.1647683763344294,1.31067114
F01_seed_421,421,final,61,1500,0.8,1.31067114,0.67276502,0.6379061199999999,1.9481856235628896,1.31067114
F01_seed_421,421,min_loss,61,1500,0.8,1.31067114,0.67276502,0.6379061199999999,1.9481856235628896,1.31067114
F01_seed_421,421,min_loss_ema,61,1500,0.8,1.31067114,0.67276502,0.6379061199999999,1.9481856235628896,1.31067114
F01_seed_422,422,oracle,29,700,0.8,0.60678335,0.60678335,0.0,1.0,1.62734885
F01_seed_422,422,lasso,33,800,0.8,0.77151171,0.60678335,0.1647283599999999,1.2714780489609676,1.62734885
F01_seed_422,422,final,61,1500,0.8,1.62734885,0.60678335,1.0205655,2.6819273304054896,1.62734885
