condition,method,mse,r2,tpr,fpr,auroc,auprc,dparam,network_density,path_density,runtime_sec
trig_interaction,ISLaB-FLOW,105585.42648054974,-47524.86594051395,1.0,1.0,0.9373684210526316,0.5690455622808563,0.1422273781902552,0.3087006960556844,0.0297030878859857,9782.133000000002
trig_interaction,ISLaB-FLOW,37373360583268.14,-17067736912394.812,1.0,1.0,0.9578947368421054,0.7978328365623448,0.1886310904872389,0.3458236658932714,0.0328028503562945,9802.293
trig_interaction,ISLaB-FLOW,1770.644502762075,-814.2854661475872,1.0,0.9947368421052633,0.9121052631578948,0.4050810380437353,0.1148491879350348,0.2067285382830626,0.0208907363420427,9824.296
trig_interaction,ISLaB-FLOW,4.874786274219271e+18,-2.086024692514968e+18,1.0,0.9947368421052633,0.8594736842105263,0.52303443778143,0.1205336426914153,0.2446635730858468,0.0240380047505938,9870.852
relu_interaction,LBBNN-FLOW,0.2739339122238828,0.8757270916207697,1.0,0.6368421052631579,0.8847368421052632,0.5385695699387383,0.0558823529411764,0.3056561085972851,0.0033625,8590.828000000001
relu_interaction,LBBNN-FLOW,2.2429035176941543,-2.133978317830909e-05,0.9,0.4578947368421052,0.57,0.0858272211605766,0.069683257918552,0.1423076923076923,0.0040375,9544.568
relu_interaction,LBBNN-FLOW,0.232142367910896,0.8947600508590146,1.0,0.9315789473684212,0.9773684210526316,0.8409603174603175,0.0868778280542986,0.3619909502262443,0.0061875,9099.289
relu_interaction,LBBNN-FLOW,0.8590010283623035,0.6436826170008774,1.0,0.9421052631578948,0.9947368421052633,0.7980122655122655,0.0966063348416289,0.284841628959276,0.0059375,9291.181
relu_interaction,LBBNN-FLOW,0.4042870929893551,0.8199154224967987,1.0,0.9157894736842104,1.0,1.0,0.1128959276018099,0.2305429864253393,0.01145,8881.741
relu_interaction,LBBNN-FLOW,0.4293945172331515,0.8045877344613984,1.0,0.9578947368421052,0.993157894736842,0.8994769119769119,0.1361990950226244,0.282579185520362,0.013475,8798.114
relu_interaction,LBBNN-FLOW,5655.902536576294,-2485.979167906787,1.0,0.7947368421052632,0.9778947368421052,0.7789670360897981,0.0785067873303167,0.2147058823529411,0.0066375,8647.545000000002
relu_interaction,LBBNN-FLOW,0.2171378534368321,0.8996943159457055,1.0,0.8894736842105263,0.978421052631579,0.6449801587301587,0.0778280542986425,0.3626696832579185,0.004475,8935.046
trig_interaction,LBBNN-FLOW,1.0065055199722854,0.5833480805299254,1.0,0.9894736842105264,0.996842105263158,0.935436507936508,0.1843891402714932,0.3018099547511312,0.0133125,11091.901
trig_interaction,LBBNN-FLOW,0.7746284497112357,0.6425305477271105,1.0,0.8210526315789474,0.9921052631578948,0.922367149758454,0.0846153846153846,0.3579185520361991,0.006475,11058.251
trig_interaction,LBBNN-FLOW,2.1772220470433594,0.0098031567018835,1.0,0.8578947368421053,0.9589473684210524,0.5668640068640068,0.1384615384615384,0.2493212669683258,0.013,11032.166
trig_interaction,LBBNN-FLOW,0.8943780006210545,0.5862037413075676,1.0,0.9263157894736842,0.9921052631578948,0.9018623481781376,0.1380090497737556,0.2653846153846154,0.0155625,11025.543
trig_interaction,LBBNN-FLOW,0.781907311096262,0.656881665467347,1.0,1.0,0.9978947368421052,0.9622222222222222,0.2475113122171945,0.2911764705882353,0.02415,8357.87
trig_interaction,LBBNN-FLOW,1.664507978994892,0.2945520151338013,1.0,0.8157894736842105,0.873157894736842,0.4040636365922407,0.1377828054298642,0.2271493212669683,0.0113625,9181.878
trig_interaction,LBBNN-FLOW,0.5984632875255999,0.7306211006449796,1.0,0.5631578947368421,0.9942105263157894,0.7904365079365079,0.0452488687782805,0.2597285067873303,0.004625,6703.197
trig_interaction,LBBNN-FLOW,0.8969702464733426,0.590369933392939,1.0,0.9947368421052633,0.9894736842105264,0.8155100373482727,0.1726244343891402,0.4101809954751131,0.01855,6181.2570000000005
trig_interaction,LBBNN-FLOW,13682.535904236978,-6299.063420616446,1.0,0.7736842105263158,0.9426315789473684,0.6572331128956069,0.1013574660633484,0.1423076923076923,0.0095375,7054.011
trig_interaction,LBBNN-FLOW,0.8400992609495428,0.6405036643816778,1.0,0.8789473684210526,0.8663157894736843,0.5125900003637229,0.1036199095022624,0.2574660633484162,0.0093125,7117.344
relu_interaction,LBBNN-LRT,0.2706314888851046,0.8895538261506672,1.0,0.6526315789473685,0.8152631578947369,0.3806334346497051,0.0574660633484162,0.3665158371040724,0.004075,2009.965
relu_interaction,LBBNN-LRT,0.3280706096264831,0.8536150414913897,1.0,0.6894736842105263,0.9852631578947368,0.8723504273504273,0.0574660633484162,0.3217194570135747,0.0040125,1965.637
relu_interaction,LBBNN-LRT,0.3563528772004892,0.8383368889981833,1.0,0.7157894736842105,0.9084210526315788,0.5194408187026994,0.0628959276018099,0.3217194570135747,0.00495,1866.885
relu_interaction,LBBNN-LRT,0.3158671580563847,0.8591674157621416,1.0,0.7105263157894737,0.9152631578947368,0.5459737588870449,0.0647058823529411,0.2868778280542986,0.004475,2124.85
relu_interaction,LBBNN-LRT,0.3210915591706647,0.8544356221536827,1.0,0.7210526315789474,0.878421052631579,0.5437950890916993,0.0622171945701357,0.33710407239819,0.004975,1936.876
relu_interaction,LBBNN-LRT,0.3163473354405276,0.8687777418639223,1.0,0.7578947368421053,0.9021052631578949,0.6014180258049112,0.0667420814479638,0.3126696832579185,0.0054625,1991.005
relu_interaction,LBBNN-LRT,0.4121223984128249,0.8164252846930888,1.0,0.6842105263157895,0.9452631578947368,0.630792686888679,0.067420814479638,0.3705882352941176,0.0049625,2714.412
relu_interaction,LBBNN-LRT,0.4645774378912033,0.7885764116379128,1.0,0.8473684210526315,0.9189473684210526,0.7498778998778999,0.0984162895927601,0.3246606334841629,0.013025,1994.585
relu_interaction,LBBNN-LRT,0.2700419480863633,0.8812587920303367,1.0,0.5578947368421052,0.943684210526316,0.7703379953379953,0.0429864253393665,0.3411764705882353,0.0028875,2062.346
relu_interaction,LBBNN-LRT,0.3745243145028777,0.8269904718750223,1.0,0.7157894736842105,0.9026315789473685,0.5860637169847696,0.0665158371040724,0.4031674208144796,0.0040375,2048.25
trig_interaction,LBBNN-LRT,0.6466816685894345,0.7323003668064157,1.0,0.8368421052631579,0.8778947368421053,0.3467660443639359,0.0925339366515837,0.3210407239819005,0.0099875,2614.82
trig_interaction,LBBNN-LRT,1.1612731802909122,0.4641047745502553,1.0,0.9578947368421052,0.9778947368421052,0.5908982683982684,0.1581447963800905,0.2968325791855203,0.017125,2642.096
trig_interaction,LBBNN-LRT,1.0445175718441797,0.5249552043559099,1.0,0.936842105263158,0.9436842105263158,0.6789610389610389,0.1490950226244344,0.288235294117647,0.0185625,1405.537
