support_idx,support_size,loss,loss_ema,log_grad_ema,val_mse,val_rmse,val_mae,val_r2,val_heldout_loglik,val_nll,dS,churn,pred_improve_rel,loss_improve_rel,grad_slope,expected_support_soft,softgate_entropy,beta_soft_sd_mean,beta_soft_abs_mean,softgate_churn,moment_recovery_score,recovery_score,active_mean_zerr_median,active_mean_zerr_mean,active_sd_logerr_median,active_sd_logerr_mean,active_sd_ratio_median,active_sd_ratio_mean,sd_ratio_median,sd_ratio_mean,active_marg_skl_median,active_marg_skl_mean,active_joint_skl_median,active_joint_skl_mean,softgate_absdiff_median,softgate_absdiff_mean,zero_soft_leakage_median,zero_soft_leakage_mean,ckpt_id,stage,is_warmup,epoch,epoch_in_stage,tau,lr,grad_norm,log_grad,alert,best_so_far
"[21, 22, 36, 69]",4,181.88142395,183.7577233,5.48715612,2.24324441,1.49774644,1.15180361,0.67320616,-1.90125573,1.90125573,0,0.0,0.0,0.03951292,0.09358903,13.30909157,0.26968515,0.06109331,0.14024286,0.00751064,1.39432129,1.39432129,1.22789125,1.33421074,0.16643004,0.15990391,1.18119118,1.17871296,1.18119118,1.17871296,0.67981708,1.21998599,2.26938214,3.12344588,0.08085531,0.09890256,0.02257994,0.04881889,22,1,False,525,225,0.74448389,1e-05,221.37298584,5.399849,False,False
"[21, 22, 36, 69]",4,168.44975281,173.07743991,5.34361636,2.36216688,1.53693425,1.18515944,0.65588164,-1.93740666,1.93740666,0,0.0,0.0,0.0738485,-0.14353976,12.63173771,0.25476676,0.05678036,0.13726819,0.00850344,1.36627725,1.36627725,1.2482756,1.30360397,0.11800165,0.13559467,1.12525291,1.13584731,1.12525291,1.13584731,0.67681344,1.0815888,2.21631871,2.78364744,0.07341405,0.09269448,0.0201543,0.0455661,23,1,False,550,250,0.74448389,1e-05,184.18974304,5.21596644,False,False
"[21, 22, 36, 69]",4,163.44581604,164.40614423,5.34873759,2.33484077,1.52801858,1.18925941,0.65986248,-1.94947445,1.94947445,0,0.0,0.01156824,0.02970581,0.00512123,12.57185459,0.25222245,0.05425819,0.13873109,0.00454029,1.30859391,1.30859391,1.23637606,1.21600966,0.07221785,0.08760457,1.07489757,1.08500297,1.07489757,1.08500297,0.70934678,1.15746061,2.00552286,2.79799857,0.07070878,0.09135163,0.01925041,0.04729103,24,1,False,575,275,0.74448389,1e-05,174.81098938,5.16370533,False,True
"[21, 22, 36, 69]",4,155.23902893,156.43058684,5.30046435,2.31677985,1.52209719,1.17507887,0.66249358,-1.97193646,1.97193646,0,0.0,0.0077354,0.05021106,-0.04827324,11.84923267,0.23532011,0.04974077,0.13695766,0.00819818,1.23403404,1.23403404,1.17135855,1.16911225,0.0626755,0.0689385,1.05291365,1.04007338,1.05291365,1.04007338,0.65887217,1.10842442,1.79060723,2.70478787,0.0608475,0.08540535,0.01680657,0.04642032,25,1,False,600,300,0.74448389,1e-05,185.86598206,5.22502589,False,True
"[21, 22, 36, 69]",4,154.103302,156.19785836,5.3751345,2.35364509,1.53415941,1.19252336,0.65712308,-1.98027384,1.98027384,0,0.0,0.0,0.00731599,0.07467015,10.92472553,0.21244717,0.0448847,0.12993498,0.00972165,1.30021242,1.30021242,1.23238619,1.2271274,0.06782624,0.10466251,0.98057517,1.03420367,0.98057517,1.03420367,0.7747159,1.07032017,1.79363091,2.41556541,0.05111142,0.07727897,0.0140178,0.04108883,26,2,False,601,1,0.69282032,9.5e-06,422.91275024,6.04716589,False,True
"[21, 22, 36, 69]",4,149.73672485,150.7049499,5.33539497,2.34452295,1.53118351,1.18483829,0.65845199,-1.97719669,1.97719669,0,0.0,0.00387575,0.02833539,-0.03973953,11.43475342,0.22152412,0.04650112,0.13487583,0.00550485,1.33325874,1.33325874,1.25514829,1.18352298,0.07811045,0.08154744,1.00690707,0.99199208,1.00690707,0.99199208,0.86856055,1.19106989,2.08598168,2.67786341,0.05386035,0.08076427,0.01616853,0.04527134,27,2,False,625,25,0.69282032,9.5e-06,163.09162903,5.09431218,False,False
"[21, 22, 36, 69]",4,143.27804565,144.92388144,5.31633343,2.36933184,1.53926341,1.19073534,0.65483785,-2.02530813,2.02530813,0,0.0,0.0,0.04313357,-0.01906155,10.95664501,0.20955138,0.04234418,0.1366695,0.00574795,1.26888947,1.26888947,1.16771266,1.04964817,0.10117681,0.11660868,0.91629936,0.92810837,0.91629936,0.92810837,0.77828675,1.04914698,2.19455613,2.666906,0.04782691,0.07705228,0.01682743,0.04672394,28,2,False,650,50,0.69282032,9.5e-06,231.16337585,5.44312472,False,True
"[21, 22, 36, 69]",4,136.64898682,139.12072203,5.20437473,2.37230349,1.54022839,1.19288123,0.65440495,-2.01942396,2.01942396,0,0.0,0.0,0.04626709,-0.1119587,11.04705429,0.21123034,0.04012018,0.13920173,0.00364121,1.28665679,1.28665679,1.18587577,1.101497,0.10078102,0.12885703,0.90413896,0.90125989,0.90413896,0.90125989,0.83145469,1.07477848,1.92047541,2.35412657,0.04652764,0.077612,0.01781319,0.05042519,29,2,False,675,75,0.69282032,9.5e-06,182.92132568,5.20905615,False,False
"[21, 22, 36, 69]",4,133.26535034,133.44732313,5.24615431,2.36062407,1.53643226,1.18165231,0.65610639,-2.00635219,2.00635219,0,0.0,0.00492324,0.02476152,0.04177958,10.65487194,0.20193027,0.03588174,0.14078622,0.00476037,1.36565787,1.36565787,1.17239204,1.08502077,0.19326583,0.20055825,0.82475494,0.84775908,0.82475494,0.84775908,0.81093768,1.17413504,2.31011015,2.86295993,0.04080487,0.0745315,0.01833383,0.05309986,30,2,False,700,100,0.69282032,9.5e-06,190.24143982,5.248294,False,False
"[21, 22, 36, 69]",4,127.67090607,128.7019369,5.37026257,2.38554668,1.54452151,1.18773127,0.65247569,-2.03050947,2.03050947,0,0.0,0.0,0.04197974,0.12410826,10.60222912,0.19944376,0.03384211,0.14393026,0.00311031,1.33818614,1.33818614,1.11589596,1.04153751,0.22229018,0.2367538,0.80084036,0.82523125,0.80084036,0.82523125,1.10260681,1.16722818,2.72088779,2.78810945,0.03830165,0.07437792,0.02074682,0.05683482,31,2,False,725,125,0.69282032,9.5e-06,162.93145752,5.09332961,False,False
