group,environment,configuration,method,seed,D_SKL_A,D_JS_0,Normalized_L1_PIP,RMSE_PIP,AUROC,AUPRC,MCMCBR,BR,Time_s
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,486,0.37967687959586993,0.0014752003697291861,0.03286875,0.11316557352503455,1.0,0.9999999999999999,0.00804716765625,0.026459977500000002,1327.1338527202606
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,487,0.10355813151453526,0.0011866615564331158,0.03696749999999999,0.13278698519621568,0.9266666666666666,0.9128205128205128,0.011779549687500002,0.034122073125000006,1342.748335838318
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,488,0.4045483615981882,0.0025192527491048502,0.024006250000000003,0.06088757185378638,1.0,0.9999999999999999,0.00719523578125,0.012837124374999998,1153.7403008937836
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,489,0.2591920857153403,0.002337810161806655,0.034525,0.10626853955898706,1.0,0.9999999999999999,0.008260816249999999,0.018018448125,1413.0861837863922
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,490,0.5189120835272086,0.001866456069474534,0.032492499999999994,0.11638377786444294,1.0,0.9999999999999999,0.00010415250000000008,0.01543392125,5619.945961713791
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,491,0.573271061574185,0.0016925261736660756,0.04333999999999999,0.1317272145856732,1.0,0.9999999999999999,0.0076273203125,0.030312057500000003,1376.421975851059
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,492,0.39185102933498384,0.002301556568948247,0.03402875,0.09933675128697335,1.0,0.9999999999999999,0.00942073265625,0.027812735625000005,1977.5466003417969
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,493,0.4564633338160603,0.0014752003697291861,0.03821624999999999,0.12925613198703573,1.0,0.9999999999999999,0.0069927801562500004,0.03237568875,1553.5347328186035
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,494,0.30640713501800787,0.0012145414900084006,0.04345249999999999,0.14453011148200223,1.0,0.9999999999999999,0.0098183375,0.035532305,1678.9897468090055
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,495,0.22751233898470907,0.0019099464170885985,0.026255,0.08301187979741215,1.0,0.9999999999999999,0.0025395153125000007,0.014979563125,6346.401987552643
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,496,0.31089780941000866,0.0009540239766418056,0.02765999999999999,0.10170684281305756,0.9677777777777778,0.8785714285714284,0.0426522825,0.05615277375000001,1527.1064233779907
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,497,0.1665637917542625,0.0025192527491048502,0.03563,0.10896829527435951,0.9855555555555555,0.9434782608695652,0.0031543968750000003,0.022745520000000005,1338.2015795707705
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,498,0.84942685698303,0.0020839550777003455,0.0424225,0.13413151079257998,1.0,1.0,0.010104732812500001,0.037429881875,1767.335509777069
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,499,0.1426481282715851,0.002911360257612055,0.04232625000000002,0.12563610212136478,1.0,0.9999999999999999,0.00115391578125,0.023037895625000006,1220.6746292114258
sensitivity,Baseline,ResCond,LaST-Flow,400,0.41593376518896835,0.0035219392850145024,0.026289999999999994,0.0691323278213601,0.9999999999999999,1.0,0.006964778749999999,0.013018251875,2568.3984100818634
sensitivity,Baseline,ResCond,LaST-Flow,401,0.3260711910350418,0.0019099464170885985,0.03514875,0.1190678883295156,0.9933333333333333,0.9519230769230769,0.020259052656249995,0.038445971249999995,2578.5819039344788
sensitivity,Baseline,ResCond,LaST-Flow,402,0.2287537223511387,0.0028549631973460088,0.043075,0.12963968576404372,1.0,1.0,0.00015888375000000014,0.018940179375,2628.3439712524414
sensitivity,Baseline,ResCond,LaST-Flow,403,0.3927057975068057,0.0025526343556656617,0.04050375,0.13074188251570343,0.9999999999999999,0.9999999999999999,0.0024492592187500004,0.024046042500000003,2575.7737867832184
sensitivity,Baseline,ResCond,LaST-Flow,404,0.04766285331983956,0.003073490741301225,0.0330325,0.09952692788888844,1.0,0.9999999999999999,0.001310909375,0.015225882500000003,3315.6873774528503
sensitivity,Baseline,ResCond,LaST-Flow,405,0.7870452321067326,0.003137258957452309,0.036993750000000006,0.11451292844587461,1.0,0.9999999999999999,0.00139142703125,0.018182798750000003,3247.436214208603
sensitivity,Baseline,ResCond,LaST-Flow,406,0.8049446316315643,0.0022942803976417118,0.03809125,0.11906422046001057,1.0,1.0,0.00795590546875,0.020467538125,2999.472963809967
sensitivity,Baseline,ResCond,LaST-Flow,407,0.41794436023097814,0.002170983054961518,0.03506625,0.10614007328172521,1.0,0.9999999999999999,0.01659539203125,0.031166558125000004,2945.5961594581604
sensitivity,Baseline,ResCond,LaST-Flow,408,0.20778587857747735,0.002432161645902268,0.03239,0.10772721481826215,1.0,0.9999999999999999,0.00013998843750000006,0.013144838749999999,2235.342628479004
sensitivity,Baseline,ResCond,LaST-Flow,409,0.12988903956356895,0.0026713262401138185,0.018507500000000007,0.04668979412034283,0.9988888888888888,0.9909090909090909,0.016634446250000004,0.018381055000000004,2270.1583647727966
sensitivity,Baseline,ResCond,LaST-Flow,410,0.1392444218493829,0.0017368113944362332,0.031278749999999994,0.09382836474782026,0.9999999999999999,1.0,0.00960203265625,0.023693576875000007,2017.398211956024
sensitivity,Baseline,ResCond,LaST-Flow,411,0.5278167196655048,0.0033474088985340866,0.0354825,0.10643513576352501,0.9922222222222222,0.9588235294117647,0.0019443525,0.021051900624999998,2170.995920658112
sensitivity,Baseline,ResCond,LaST-Flow,412,0.4503058515448497,0.002170983054961518,0.0289475,0.0882514907806095,1.0,0.9999999999999999,0.008416623749999998,0.022460120625000003,2198.6032338142395
sensitivity,Baseline,ResCond,LaST-Flow,413,0.5030392475769745,0.0013014120679986072,0.040832499999999994,0.1346835817295486,1.0,1.0,0.009779505312499997,0.033832218125,1957.1589498519895
sensitivity,Baseline,ResCond,LaST-Flow,414,0.3410541373540702,0.002606359648678423,0.02720875,0.08901750442328744,1.0,0.9999999999999999,0.0033582792187500012,0.014349916875000002,2223.9105801582336
sensitivity,Baseline,ResCond,LaST-Flow,415,0.17540304124042902,0.002214504929872411,0.04450625000000001,0.126249307547606,0.9999999999999999,0.9999999999999999,0.007490740156249998,0.031947195000000005,1906.35524892807
sensitivity,Baseline,ResCond,LaST-Flow,416,0.5365184520752082,0.001694690989788051,0.03821624999999999,0.12282247160536218,0.9977777777777778,0.9833333333333333,0.005514990781250001,0.027446469375000008,2482.384266138077
sensitivity,Baseline,ResCond,LaST-Flow,417,0.7920695395867747,0.002571531461301379,0.04273124999999999,0.12134059308924611,0.9966666666666667,0.976923076923077,0.007581254531249999,0.032539309999999995,2555.6469826698303
sensitivity,Baseline,ResCond,LaST-Flow,418,0.09552609222414049,0.0023450863331131904,0.02487625,0.06701675746595026,0.9999999999999999,0.9999999999999999,0.00941037390625,0.01500159375,2399.179857730865
sensitivity,Baseline,ResCond,LaST-Flow,419,0.31769887084016657,0.0014752003697291861,0.0342825,0.11365983514417043,0.9777777777777777,0.93125,0.01153976,0.029894272500000003,2424.1206665039062
sensitivity,Baseline,ResCond,LaST-Flow,420,0.1343098688779515,0.0023450863331131904,0.03813249999999999,0.12759289630500595,0.9999999999999999,0.9999999999999999,0.0005310796874999998,0.021599137499999997,2171.310911655426
sensitivity,Baseline,ResCond,LaST-Flow,421,0.7769041333818834,0.0020839550777003455,0.03662875,0.10287275286124116,0.9988888888888889,0.9909090909090909,0.0031669139062499995,0.018148431875000003,2197.0343408584595
sensitivity,Baseline,ResCond,LaST-Flow,422,0.16410607354438952,0.0019601927819068764,0.03614,0.11890305399778425,1.0,0.9999999999999999,0.0015437381249999995,0.01959837375,2305.847533226013
sensitivity,Baseline,ResCond,LaST-Flow,423,0.2627146159203553,0.002954945329965775,0.030805,0.07982160186941878,1.0,0.9999999999999999,0.0002926406249999999,0.00833880875,2023.1348242759705
sensitivity,Baseline,ResCond,LaST-Flow,424,0.22474326035986786,0.002954945329965775,0.0342775,0.09392396858629858,1.0,1.0,3.326875e-06,0.008824311250000001,2484.0358316898346
