environment,configuration,N,D_SKL_A,D_SKL_A_ci_low,D_SKL_A_ci_high,D_JS_0,D_JS_0_ci_low,D_JS_0_ci_high,Normalized_L1_PIP,Normalized_L1_PIP_ci_low,Normalized_L1_PIP_ci_high,RMSE_PIP,RMSE_PIP_ci_low,RMSE_PIP_ci_high,AUROC,AUROC_ci_low,AUROC_ci_high,AUPRC,AUPRC_ci_low,AUPRC_ci_high,MCMC_AUROC,MCMC_AUROC_ci_low,MCMC_AUROC_ci_high,MCMC_AUPRC,MCMC_AUPRC_ci_low,MCMC_AUPRC_ci_high,MCMCBR,MCMCBR_ci_low,MCMCBR_ci_high,BR,BR_ci_low,BR_ci_high,Time_s,Time_s_ci_low,Time_s_ci_high,MH_Time_s,MH_Time_s_ci_low,MH_Time_s_ci_high,BRREL,BRREL_ci_low,BRREL_ci_high
n>p,Deep MLP 4/256,100,0.22184862371257705,0.19391061243280186,0.25219101217097645,7.97202781519987e-05,7.19212770783138e-05,8.708656867630265e-05,0.031941837499999993,0.029937913437499998,0.03398253406249999,0.13418081682885455,0.12785439527823378,0.14042268170785488,1.0,1.0,1.0,1.0,1.0,1.0,0.992,0.988,0.9954999999999999,0.9856,0.9784,0.9919,0.0087215153890625,0.007168089972539061,0.010355223997109376,0.0291052041625,0.026827564577187494,0.031522106370625,3642.3233110809324,3525.899353212178,3777.6080983579755,1293.98821,1285.97825525,1302.0112602499999,3.3371728265251157,2.898455898807308,3.890652723196141
n>p,Mean-field,100,29.291182357255572,29.29010460235908,29.292288857311572,0.5640794644326279,0.5455681355429574,0.581444744205435,0.7507056874999999,0.7436287893749999,0.7568854165625,0.8049059764575649,0.7981335775582113,0.8109415627256251,0.9764,0.9719220833333333,0.9803556944444446,0.8431859399223205,0.8226517468434776,0.8632714858985401,0.992,0.988,0.9954999999999999,0.9856,0.9784,0.9919,0.0087215153890625,0.007149438165625,0.010370225047695312,0.64065266875,0.6299550794146875,0.6504554322799999,26.43189709186554,14.816484761178494,42.58276140731572,1293.98821,1286.21647725,1302.46856,73.4565772312265,61.3083893347616,90.23547751477052
p>>n,Baseline MLP 2/64,100,1.3178718436557588,1.0547750618080909,1.6028101729759485,0.0001519158953467264,0.00012625266824786553,0.00018164761746914824,0.0098988975,0.0094186666875,0.010411861124999998,0.06531065496484323,0.06231536910101641,0.06839080557056945,0.929930612244898,0.913264387755102,0.9445073724489798,0.7945976464028073,0.7556651727844412,0.8303463505092026,0.9797265306122449,0.9740444387755103,0.9848939540816327,0.8940664511797586,0.8736505385385583,0.9134723096757784,0.004635992272812499,0.004118507637132812,0.005186082939421876,0.010322635904999999,0.00970743401825,0.010954550366656251,2910.9446078300475,2642.4385271722676,3209.9768010396356,5340.776170000001,5283.643637249999,5403.657632000001,2.226629230065046,2.034180961622007,2.452383421348337
p>>n,ResCond,100,1.5084958760545155,1.0679896858211146,2.108200088025915,0.00014265841643866953,0.00011866146708126031,0.00017118507539641618,0.010060337499999999,0.0095501071875,0.010583912499999999,0.06605783627368977,0.06295602493686768,0.06916363667662281,0.9337857142857143,0.918363137755102,0.9479054081632654,0.8024822648783695,0.7663313503639401,0.8368655708910046,0.9797265306122449,0.9739130867346938,0.9850602551020408,0.8940664511797586,0.8740147984247589,0.9129828938593149,0.004635992272812499,0.004102231810679686,0.005184916310351562,0.010421146053750002,0.009816295091500001,0.011062544059625,4130.4928397750855,3707.0078579130172,4613.555437424123,5340.776170000001,5282.0247425,5405.181094749999,2.2478782190523035,2.037842400624822,2.494913876302602
p>>n,Deep MLP 4/256,100,1.364064126323962,0.9700049949344153,1.9693839221496856,0.00014766849097486265,0.0001226671789853901,0.00017659554415898863,0.009894052499999998,0.009419596125,0.010397059062499998,0.06519586614017159,0.062266985785419185,0.06820452358674935,0.9370908163265306,0.9214974999999999,0.9514847959183673,0.8168925138888671,0.7802728820129674,0.8510672751443605,0.9797265306122449,0.973928469387755,0.9849780612244896,0.8940664511797586,0.8732888383354425,0.9131188300352597,0.004635992272812499,0.004109721921554688,0.005188589068124999,0.010278248002499999,0.00965727028959375,0.01089384481525,6255.555108039379,6021.558781697452,6554.697739491641,5340.776170000001,5282.0925962500005,5407.28192375,2.217054601832745,2.0234254715493813,2.4469930673648497
p>>n,Mean-field,100,19.80761393914722,18.382193239977074,21.224140914995015,0.35252633503715214,0.3168301544936003,0.38769377775259684,0.6473570025000001,0.6107363346875,0.6848316765,0.6569284086381509,0.6180747125220912,0.6961125380914446,0.8262816326530611,0.8139823469387756,0.8383129081632653,0.22697203255214402,0.2065366743275821,0.24838137124084733,0.9797265306122449,0.9738571938775511,0.984992142857143,0.8940664511797586,0.87273166532713,0.9131337619366019,0.004635992272812499,0.004107037544976562,0.005184443661726561,0.4713243726724999,0.42189543003481245,0.5215578338553125,23.69339265346527,17.579318131804463,34.141647304177255,5340.776170000001,5283.331417,5406.719488,101.66634130012545,85.09992475584822,122.56353671541864
Weak signals,Baseline MLP 2/64,100,0.940317724490932,0.8694810477525444,1.015516988222997,0.00021886469989721935,0.00019233101449633215,0.00024586682529818474,0.011754612499999999,0.010517300625,0.013085494375000001,0.06057286816603631,0.054503950421484315,0.06673262329574427,0.8365611111111112,0.8178697222222224,0.8537834722222222,0.6480558491630244,0.6178390458522593,0.6790567367556521,0.8546444444444445,0.83706625,0.871250972222222,0.6614520350338562,0.6300152552120484,0.6914088104263977,0.0825438924640625,0.08062299109535158,0.08443024960222655,0.09588174412499997,0.09527427742875,0.09643779920703127,1173.5004169654846,1116.7074875047801,1236.2093848850132,396.00043,393.11369974999997,398.97947725,1.1615849611980005,1.1397017268408551,1.1849390708383907
Weak signals,ResCond,100,0.9349139308012987,0.8648489048303415,1.0097675719174244,0.00027344785772847864,0.00024701649200359853,0.0003013061020571019,0.011750262499999997,0.010526179999999998,0.013025850312500002,0.05930862701970882,0.05327805161338992,0.06539587899032723,0.8494555555555556,0.8315765277777777,0.8667390277777777,0.6573069736393178,0.6264415732376392,0.6867282221029212,0.8546444444444445,0.8365220833333333,0.8716511111111112,0.6614520350338562,0.6304458603001686,0.6929261540178421,0.0825438924640625,0.08052851770171875,0.08450439998328126,0.0951647430875,0.09449048268468752,0.09577286805984374,2262.7385058569907,2086.8658498152495,2475.2193238750688,396.00043,393.0574032500001,398.94574675,1.152898660902529,1.130870713292412,1.1755064312451096
Weak signals,Deep MLP 4/256,100,0.9134482349895555,0.8433031887242738,0.9863141580736873,0.00026246116465932173,0.00023384415673148741,0.0002913535128445431,0.011782837499999999,0.0104961890625,0.013078170000000002,0.05926655230211742,0.05327395067252386,0.06541763070101801,0.8461777777777779,0.8278656944444445,0.8642277777777777,0.6567921566501487,0.6274129831146409,0.6854587209375071,0.8546444444444445,0.8368881944444444,0.8721949999999999,0.6614520350338562,0.630595041111872,0.692442462334841,0.0825438924640625,0.08063900779308594,0.08448293087277342,0.09499983596875,0.09433895714515625,0.09562214429953125,3219.4825080490114,3126.9997120355965,3317.7894106947783,396.00043,393.22773524999997,399.0150075,1.150900849631128,1.12897506731533,1.174432530943889
Weak signals,Mean-field,100,4.9855433335370085,4.3362964441855905,5.6824273214323835,0.15735123689901898,0.15068238223589542,0.16398957240646406,0.4103559375,0.3977895556250001,0.4245458174999999,0.42351341225538586,0.41038244065931356,0.4380624044709041,0.8362944444444443,0.8183216666666666,0.8519393055555553,0.6021054213658632,0.5757419906785894,0.6283812853871152,0.8546444444444445,0.8369220833333334,0.8721226388888889,0.6614520350338562,0.6293198148718083,0.6922755629097309,0.0825438924640625,0.08054572863414061,0.08445390719199221,0.1878766733,0.17831084101875005,0.1988249244509375,13.081837236881256,10.080390119493009,18.439507254362105,396.00043,393.06425475,398.9429075000001,2.2760820660571186,2.1531447350363777,2.4129560321680295
