branch,head,coupling_layer,target_coord,mean_entropy
shift,2,0,29,0.8037636876106262
shift,2,0,32,0.4519157409667969
shift,2,0,33,2.9574570655822754
shift,2,0,34,0.8088094592094421
shift,2,0,36,0.6198186278343201
shift,2,0,45,0.1974060982465744
shift,2,0,46,0.4681895673274994
shift,2,1,0,0.0042220791801810265
shift,2,1,1,0.07299930602312088
shift,2,1,2,0.24767068028450012
shift,2,1,6,0.8575107455253601
shift,2,1,9,0.9414726495742798
shift,2,1,10,1.1123813390731812
shift,2,1,13,1.4485007524490356
shift,2,1,15,1.3293108940124512
shift,2,1,18,0.4169250428676605
shift,2,1,24,1.3221880197525024
shift,2,1,25,0.1550493687391281
shift,2,1,26,0.9344997406005859
shift,2,1,30,0.7582852840423584
shift,2,1,31,0.9485110640525818
shift,2,1,35,1.077107310295105
shift,2,1,37,2.543455123901367
shift,2,1,38,2.0731446743011475
shift,2,1,39,1.2151957750320435
shift,2,1,40,0.7486658692359924
shift,2,1,41,0.23193784058094025
shift,2,1,42,2.6321523189544678
shift,2,1,43,2.407309055328369
shift,2,1,44,1.7272459268569946
shift,2,2,0,2.8514413833618164
shift,2,2,1,0.14343379437923431
shift,2,2,2,1.1399903297424316
shift,2,2,3,0.32215291261672974
shift,2,2,4,0.23858244717121124
shift,2,2,5,0.07191015779972076
shift,2,2,6,0.43094897270202637
shift,2,2,10,2.2336087226867676
shift,2,2,12,2.2198312282562256
shift,2,2,14,1.988801121711731
shift,2,2,15,2.2706995010375977
shift,2,2,17,2.371769666671753
shift,2,2,19,2.079411506652832
shift,2,2,21,2.194998025894165
shift,2,2,23,1.327636480331421
shift,2,2,26,2.5005276203155518
shift,2,2,30,2.3216640949249268
shift,2,2,31,2.160437822341919
shift,2,2,33,2.127913475036621
shift,2,2,34,2.5218923091888428
shift,2,2,35,2.662670612335205
shift,2,2,36,0.006144172511994839
shift,2,2,38,2.039757251739502
shift,2,2,46,2.223052501678467
shift,2,3,7,2.2242543697357178
shift,2,3,8,2.014636278152466
shift,2,3,9,1.771944284439087
shift,2,3,11,1.6493672132492065
shift,2,3,13,1.8310905694961548
shift,2,3,16,2.1922340393066406
shift,2,3,18,1.913697361946106
shift,2,3,20,1.6879647970199585
shift,2,3,22,1.0245014429092407
shift,2,3,24,0.6692532896995544
shift,2,3,25,2.3987255096435547
shift,2,3,27,2.4249095916748047
shift,2,3,28,0.6016682386398315
shift,2,3,29,2.2044174671173096
shift,2,3,32,2.0156939029693604
shift,2,3,37,2.301323413848877
shift,2,3,39,0.9816318154335022
shift,2,3,40,0.47099170088768005
shift,2,3,41,0.7289876937866211
shift,2,3,42,2.210902452468872
shift,2,3,43,0.6125571727752686
shift,2,3,44,2.5125198364257812
shift,2,3,45,0.7844308614730835
shift,2,4,1,1.9218344688415527
shift,2,4,2,1.6760934591293335
shift,2,4,4,1.238507866859436
shift,2,4,7,1.486068844795227
shift,2,4,8,1.9752514362335205
shift,2,4,9,1.933180570602417
shift,2,4,10,2.2966251373291016
shift,2,4,11,2.1398563385009766
shift,2,4,13,0.32814767956733704
shift,2,4,14,0.7885572910308838
shift,2,4,16,1.927069067955017
shift,2,4,18,2.042785167694092
shift,2,4,21,1.8468552827835083
shift,2,4,23,1.989374041557312
shift,2,4,25,0.987525999546051
shift,2,4,28,1.3105820417404175
shift,2,4,30,1.8020602464675903
shift,2,4,33,0.22086569666862488
shift,2,4,36,0.24333150684833527
shift,2,4,37,2.371365785598755
shift,2,4,38,0.5754490494728088
shift,2,4,39,0.9288083910942078
shift,2,4,40,0.5725999474525452
shift,2,4,45,1.542873740196228
shift,2,5,0,2.046358346939087
shift,2,5,3,0.399082750082016
shift,2,5,5,1.7516963481903076
shift,2,5,6,1.179863452911377
shift,2,5,12,0.6852689385414124
shift,2,5,15,1.2556860446929932
shift,2,5,17,1.3404902219772339
shift,2,5,19,0.20545852184295654
shift,2,5,20,0.20860645174980164
shift,2,5,22,0.12450172752141953
shift,2,5,24,0.17460665106773376
shift,2,5,26,1.0985262393951416
shift,2,5,27,0.7630683183670044
shift,2,5,29,1.6614726781845093
shift,2,5,31,0.6369797587394714
shift,2,5,32,1.2275471687316895
shift,2,5,34,0.15784141421318054
shift,2,5,35,1.015433669090271
shift,2,5,41,1.1680508852005005
shift,2,5,42,0.28926941752433777
shift,2,5,43,0.9922641515731812
shift,2,5,44,0.7172836661338806
shift,2,5,46,0.4199524521827698
shift,2,6,0,0.2274550199508667
shift,2,6,2,2.1393046379089355
shift,2,6,4,1.4565755128860474
shift,2,6,5,2.3697030544281006
shift,2,6,6,2.891367197036743
shift,2,6,8,2.3608179092407227
shift,2,6,9,1.695597767829895
shift,2,6,10,2.4290335178375244
shift,2,6,11,1.9260221719741821
shift,2,6,12,2.5105228424072266
shift,2,6,14,1.353140115737915
shift,2,6,18,2.156963348388672
shift,2,6,19,1.444900631904602
shift,2,6,21,2.0847010612487793
shift,2,6,22,2.338792085647583
shift,2,6,23,2.9211366176605225
shift,2,6,24,2.7145161628723145
shift,2,6,26,2.0167245864868164
shift,2,6,32,1.0725239515304565
shift,2,6,34,2.2736854553222656
shift,2,6,35,2.6483774185180664
shift,2,6,38,0.7956767678260803
shift,2,6,45,1.823381781578064
shift,2,6,46,0.8759003281593323
shift,2,7,1,1.7721894979476929
shift,2,7,3,1.5379399061203003
shift,2,7,7,1.8057332038879395
shift,2,7,13,1.7323195934295654
shift,2,7,15,1.9323996305465698
shift,2,7,16,1.8418854475021362
shift,2,7,17,1.7621272802352905
shift,2,7,20,2.0441904067993164
shift,2,7,25,1.662323236465454
shift,2,7,27,1.6746467351913452
shift,2,7,28,1.5433166027069092
shift,2,7,29,1.6463725566864014
shift,2,7,30,1.5919182300567627
shift,2,7,31,0.27793633937835693
shift,2,7,33,0.7786480188369751
shift,2,7,36,1.9747191667556763
shift,2,7,37,2.6064441204071045
shift,2,7,39,2.996288537979126
shift,2,7,40,2.043949842453003
shift,2,7,41,2.2529995441436768
shift,2,7,42,1.3269150257110596
shift,2,7,43,1.0268898010253906
shift,2,7,44,0.5808433294296265
scale,1,0,3,2.0433993339538574
scale,1,0,4,1.7616113424301147
scale,1,0,5,1.6700677871704102
scale,1,0,7,0.7551695704460144
scale,1,0,8,0.034051209688186646
scale,1,0,11,0.03384248912334442
scale,1,0,12,0.08853849023580551
scale,1,0,14,0.9991718530654907
scale,1,0,16,1.2918784618377686
scale,1,0,17,0.9771429300308228
scale,1,0,19,1.7756447792053223
scale,1,0,20,1.8247281312942505
scale,1,0,21,1.9609593152999878
scale,1,0,22,2.45686674118042
scale,1,0,23,1.916153073310852
scale,1,0,27,1.5617679357528687
scale,1,0,28,0.26390838623046875
scale,1,0,29,1.2882651090621948
scale,1,0,32,0.20618988573551178
scale,1,0,33,1.5260348320007324
scale,1,0,34,2.134000539779663
scale,1,0,36,1.901914119720459
scale,1,0,45,1.8631750345230103
scale,1,0,46,0.8179585933685303
scale,1,1,0,0.05923785641789436
scale,1,1,1,0.020564835518598557
scale,1,1,2,0.0029226006008684635
scale,1,1,6,0.12184112519025803
scale,1,1,9,0.004752315115183592
scale,1,1,10,0.059676602482795715
scale,1,1,13,0.15650339424610138
scale,1,1,15,0.199962317943573
scale,1,1,18,0.026460353285074234
scale,1,1,24,0.8587096929550171
scale,1,1,25,0.04360894858837128
scale,1,1,26,0.2781408727169037
scale,1,1,30,0.05146711319684982
scale,1,1,31,0.0037748704198747873
scale,1,1,35,0.20323163270950317
scale,1,1,37,0.7800307869911194
scale,1,1,38,1.199823260307312
scale,1,1,39,1.504144310951233
scale,1,1,40,0.09445184469223022
scale,1,1,41,0.6220792531967163
scale,1,1,42,0.10488712042570114
scale,1,1,43,0.11266742646694183
scale,1,1,44,1.4151294231414795
scale,1,2,0,1.1101192235946655
scale,1,2,1,2.973233938217163
scale,1,2,2,2.5180509090423584
scale,1,2,3,2.526664972305298
scale,1,2,4,2.7621309757232666
scale,1,2,5,2.640298843383789
scale,1,2,6,1.2612802982330322
scale,1,2,10,0.3470011055469513
scale,1,2,12,1.420785903930664
scale,1,2,14,2.0014820098876953
scale,1,2,15,1.3340522050857544
scale,1,2,17,1.863348364830017
scale,1,2,19,1.9838634729385376
scale,1,2,21,2.022059679031372
scale,1,2,23,1.4558124542236328
scale,1,2,26,2.0617988109588623
